n3692723,“医生反对强制器官活摘组织”向美国驻联合国大使递交请愿书
n8582628,比利时法轮功学员人权日反活摘 政要支持
n8740679,《活摘》日本上演 议员震惊愿努力制止暴行
n8846163,西班牙25万个“反活摘器官”签名呈交国会
n9009661,白宫网站征签 吁川普敦促习近平 制止强摘器官
n9056753,亲人被绑架 悉尼法轮功学员中领馆前请愿
n9188314,纪录片震撼北加州 民众吁制止新型群体灭绝
n9522572,墨尔本《活摘·十年调查》首映式 观众震惊
n9938847,台立法院首映《活摘》 揭中共带血经济
n10318181,著名人权律师常青藤宾大揭中共活摘暴行
n10442407,麦塔斯揭中共经营器官黑市及活摘暴行
n10587757,日本64议员28团体齐吁：制止中共医疗虐杀
n10722747,《活摘》纪录片震撼澳洲首都观众
n10724764,加律师麦塔斯与美博士在澳吁制止中共活摘
n11104016,唐恩：现世报应如响 行恶者快忏悔赎罪
n11109190,台监委访欧 欧议员吁合作反中共活摘器官
n11330691,英法庭： 制止中共活摘器官 全世界有责任
n11335935,BBC访活摘器官医生：被洗脑后无罪恶感
n11334897,美媒：人民法庭裁定中共仍在掠夺器官
n11338520,从川习会到伊朗 五分钟掌握一周国际风云
n11367315,【专访】英人权专家吁各国立法 清算中共
n11539095,欧洲器官移植大会 中共活摘器官引专家热议
n11546426,中共强摘器官证据呈递联合国 媒体聚焦
n11712046,日韩台携手曝光中共活摘 推修法阻移植旅游
n12070397,疫情下全球追责 中共还面临另一大清算
n12150824,疫情重灾区武汉和苏家屯 有一惊人相似点
n12298730,玉清心：武汉协和医院高调“换心”的幕后
n12514711,麦塔斯：应对中共 国际移植协会需改七原则
n12572329,黄洁夫称器官移植要世界第一 学者：中共按需杀人
n12692050,制止中共活摘器官海报征选颁奖 70国作品参赛
n12693197,吾尔开希：中共活摘法轮功学员及维族人器官
n12702148,田秋堇：中共活摘器官残忍恐怖是铁铮铮事实
n12775087,117个机构联合会议 吁对中共活摘器官追责
n13033450,反强摘器官法案进入加拿大国会二读
n13177791,制止中共活摘器官海报作品将巡回日韩台展出
n13201492,反活摘世界峰会9月举行 19国专家将与会
n13245052,反活摘器官峰会吁各国立法 惩治中共暴行
n13253550,世界反活摘峰会 欧美亚医界谴责中共罪行
n13259730,“反活摘之世界宣言”吁全人类制止中共暴行
n13278502,反活摘世界峰会 张锦华：媒体应报导事实真相
n13336571,欧洲议会议员：欧议会应曝光中共活摘器官
