n3566491,郑欣然：中共气数已尽，谁不猛醒？
n12880270,回忆十六年前被中共害死的父亲李茂勋
n12864987,孔维京：4·25 我被朱镕基带进中南海
n12885174,北京万人上访幕后 天津事件真相（1）
n12894152,“4•25”22周年 当年研究生忆经历
n12898729,曾慧燕：我曾在世贸大楼专访李洪志先生
n12902807,北京万人上访幕后 天津事件真相（3）
n12903195,“法轮功让人看到真正的强大！”
n12903976,震惊世界的中南海万人上访
n12904445,美华府法轮功学员纪念“四二五”上访22周年
n12910618,对抗中共假新闻 中国人成功插播真相
n13105277,天安门广场上的“呐喊”（1）
n13183270,中共为何制造“天安门自焚案”
n13390029,36位西人：在天安门广场上为自由而战
