n1189512,穆正新：志愿军战俘系列之一—红色滑铁卢（1）
n9930220,专访杜斌：有共产主义的地方 就有饥荒战争灾难
n9940966,高天韵：《共产主义的终极目的》是救世神书
n9971840,《共产主义终极目的》揭中共“用欲望杀人”
n9980856,处心积虑 共产主义毁灭人类的路线图
n9986897,莫斯科“悲伤墙”背后的故事
n9988943,共产党毁灭人类暴政录——前言
n9996650,揭秘“四一二反革命政变”的历史真相（上）
n10004515,揭秘“四一二反革命政变”的历史真相（下）
n10014980,林辉：文革荒诞事 误损毛像引出大祸端
n10021419,专访丁抒：中共篡夺政权后的土改杀戮（上）
n10040271,共产暴政录：“胡风反革命集团”案
n10037415,柬埔寨4万人庆柬共垮台 陆民众盼推翻中共
n10044605,共产党暴政录：反右运动
n10063990,苏智敏：血腥计生悲歌——帮凶  弃卒  泪水
n10079307,林辉：周恩来主任秘书自杀 亲戚文革遭殃
n10071507,《共产主义黑皮书》：十月革命的悖论和误解
n10085548,郑兢业：人吃与吃人（一 ）
n10086007,郑兢业：人吃与吃人（二）
n10086108,郑兢业：人吃与吃人（三）
n10081110,《共产主义黑皮书》：沙皇垮台 临时政府分崩
n10101129,林辉：沈阳雪堆中千余苏军尸体背后的暴行
n10101897,袁斌：农民运动与中共暴行暴政
n10107234,《共产主义黑皮书》：契卡指挥恐怖屠杀
n10112268,林辉：红色公主的大字报让军报少将家破人亡
n10107240,《共产主义黑皮书》：强制征粮政策酝酿中
n10107245,《共产主义黑皮书》：数千起征粮暴动遭镇压
n10129004,袁斌：中共早期“革命史”的真相（2）
n10107253,《共产主义黑皮书》：契卡镇压罢工及反对派
n10127125,《共产主义黑皮书》：恐怖手段镇压农民起义
n10134744,沉静：切·格瓦拉——魔幻偶像（一）
n10144729,林辉：支持缅共的知青旅往事并不如烟
n10149315,沉静：切·格瓦拉——魔幻偶像（三）
n10135194,《共产主义黑皮书》：红色恐怖全面启动
n10147874,“一打三反”运动：文革中血腥的一幕
n10153765,共产暴政录——消灭宗教
n10135198,《共产主义黑皮书》：两月处决上万人
n10151486,《共产主义黑皮书》：肮脏战争
n10151492,《共产主义黑皮书》：大规模镇压工人罢工
n10173051,艾以：音乐家陈歌辛的最后岁月
n10151499,《共产主义黑皮书》：生存之战
n10151501,《共产主义黑皮书》：“去哥萨克化”
n10151504,《共产主义黑皮书》：血染之旗
n10186094,林辉：天安门杀毛案疑点重重 侦案者冤狱七年
n10187745,从钻脑取髓到原发性脑干损伤撞击机看中共邪恶
n10186058,《共产主义黑皮书》：从坦波夫到大饥荒
n10186066,《共产主义黑皮书》：罢工与兵变
n10195043,袁斌：中共“苏维埃共和国”的专制实验
n10189781,《共产主义黑皮书》：镇压农民
n10189805,《共产主义黑皮书》：知识界的反饥荒行动
n10189813,《共产主义黑皮书》：饥荒与反宗教运动
n10189818,《共产主义黑皮书》：反革命罪
n10189823,《共产主义黑皮书》：清洗知识界
n10217201,极限饥饿：灵与肉的双重凌迟（上）
n10217374,《共产主义黑皮书》：从停战到大转折
n10217581,极限饥饿：灵与肉的双重凌迟（下）
n10234497,林辉：财大气粗的共产国际背后是血腥掠夺
n10217377,《共产主义黑皮书》：索洛维茨基特别集中营
n10217382,《共产主义黑皮书》：中亚的反抗与征服
n10248973,还原真实的中共：年轻人乌托邦梦碎
n10263600,共产暴政录：宣导暴力杀戮的彭湃
n10217388,《共产主义黑皮书》：党内清洗与斯大林上台
n10272258,杨宁：庆祝毛死去的年轻人被判死缓后
n10274696,血染道县 中共连襁褓的婴儿也不放过
n10248008,《共产主义黑皮书》：强制集体化和去富农化
n10284443,林辉：受蒋介石赞赏的“苗王”被逼自杀背后
n10248098,《共产主义黑皮书》：劳改大军
n10248105,《共产主义黑皮书》：运畜车中的被流放者
n10248107,《共产主义黑皮书》：饥寒交迫的新生活
n10248113,《共产主义黑皮书》：“贱民”阶级
n10300836,《共产主义黑皮书》：大饥荒
n10306820,【还原史实】 整风运动 魔鬼整人初试啼声
n10310732,共产暴政录：台湾土改与大陆土改的对比
n10311507,道县66天九千平民被害死 杀人风蔓延
n10300844,《共产主义黑皮书》：百万饥民的死亡判决
n10300886,《共产主义黑皮书》：饿殍惨象
n10322135,道县杀人残忍：剖肚吊死 捅死孕妇 炸死一群
n10328723,道县大屠杀 这些难以置信的残暴仍在继续
n10300896,《共产主义黑皮书》：镇压“社会外来分子”
n10358233,共产暴政录：土改是中共邪恶基因的实践
n10360803,共产暴政录：统购统销洗劫中国农民
n10371607,共产党暴政录：三反五反运动
n10317561,《共产主义黑皮书》：苏联版的户籍制
n10317581,《共产主义黑皮书》：基洛夫被暗杀和党内清洗
n10393987,林辉：掩盖大饥荒真相 五省书记罪责难逃（上）
n10395165,【还原史实】谁在对日抗战？谁在借机发展？
n10385187,《共产主义黑皮书》：大恐怖
n10398402,林辉：掩盖大饥荒真相 五省书记罪责难逃（下）
n10385190,《共产主义黑皮书》：斯大林的大清洗
n10409612,陈渝：中共解体时爱国游子陈嘉远将魂归故里
n10385194,《共产主义黑皮书》：镇压措施的始作俑者
n10414742,共产暴政录：文革抄家抢了多少财宝
n10385200,《共产主义黑皮书》：谁是大清洗受害者？
n10406336,《共产主义黑皮书》：枪毙西多罗夫
n10406341,《共产主义黑皮书》：“叛国”的红军元帅
n10406347,《共产主义黑皮书》：大规模杀戮的逻辑
n10439090,严家伟：滥杀无辜草菅人命的“镇反运动”
n10446785,共产暴政录：从船王卢作孚自杀看中共劫财手段
n10448635,林辉：上书毛反对土改 农学家慧眼识中共
n10437198,《共产主义黑皮书》：集中营帝国
n10452129,金里奇：中共领导人拥抱马克思 令中国人遭殃
n10437205,《共产主义黑皮书》：波兰大屠杀
n10437211,《共产主义黑皮书》：占领波罗的海三国
n10437219,《共产主义黑皮书》：关押普通公民的集中营
n10474970,《共产主义黑皮书》：放逐日耳曼人
n10480591,《共产主义黑皮书》：大规模放逐少数民族
n10480600,《共产主义黑皮书》：死亡营——战时古拉格
n10480612,《共产主义黑皮书》：战后的反抗和镇压
n10472757,一座水下监狱 披露苏共鲜为人知的秘密
n10491766,朝鲜战争锣鼓掩盖下的暴力土改
n10513377,土改中的按比例杀人与反人类酷刑
n10513884,中共用战争的方式进行土改和镇反
n10513937,摧毁传统乡绅制与现代法治基础的痞子运动
n10528592,中共建党97年 被指是中国人民的一场浩劫
n10530096,《共产主义黑皮书》：“法院”的新职能
n10551502,【还原史实】镇反土改 中共建政初年的恐怖统治
n10552841,共产暴政仍在当今中国肆虐 西方人无法想像
n10530121,《共产主义黑皮书》：被永久驱逐的特殊移民
n10556515,凌晓辉：毒害人类灵魂的共产主义理论（上）
n10561036,张林：共产主义运动的恶果
n10530129,《共产主义黑皮书》：古拉格的危机
n10569495,《共产主义黑皮书》：“医生的阴谋”
n10576837,天安门自焚伪案 美记者当年有何惊人发现
n10579977,林展翔：简谈中共迫害法轮功的非法
n10580111,10万人悼念 末代沙皇全家遭灭口历史再提
n10571310,《共产主义黑皮书》：苏联的反犹主义
n10590053,烧杀抢如何成为中共土地革命的“初心”
n10600549,文革中自杀的中共省委书记阎红彦
n10602910,【还原史实】“三反五反”掠夺企业主 引爆自杀潮
n10606663,大兴文革：踩撕婴儿 活埋祖孙 一夜杀百人
n10607931,林辉：中共红军“三大纪律”掩盖下的恶行
n10612921,炮灰与英雄——中美韩战军人的命运
n10571330,《共产主义黑皮书》：神秘的列宁格勒事件
n10571352,《共产主义黑皮书》：密谋与反密谋
n10616561,《共产主义黑皮书》：斯大林死后的大变动
n10619278,《共产主义黑皮书》：赫鲁晓夫的踌躇
n10619285,《共产主义黑皮书》：不安定的和平
n10619323,《共产主义黑皮书》：政治解冻期的异见者
n10646631,故宅大院中的罪恶：中共土改酷刑烧烤活人
n10637371,《共产主义黑皮书》：暴力与镇压的循环
n10637376,《共产主义黑皮书》：恐怖的内在逻辑
n10658463,布拉格之春50周年 捷克共产党阴影犹在
n10673592,张林：罪恶累累的中共看守所（三）
n10672735,为反右开场祭旗：三人被处决 万人围观
n10682394,张林：罪恶累累的中共看守所(四)
n10689028,顾雪雍：89岁老人说往事 一字一泪斥残暴
n10698182,共产暴政录：中共在苏区杀人如麻
n10701497,《共产主义黑皮书》：共产国际的恐怖活动
n10702629,【还原史实】反右运动 中国知识分子惨遭摧折
n10705738,古玉文：红谍郭汝瑰不忘初心 助共为虐食苦果
n10711194,“富田兵变”遭镇压 尸体填满整个山沟
n10703248,《共产主义黑皮书》：被斩断的红色触手(2)
n10711496,共产暴政录：喊错口号导致六千人被杀
n10719086,张林：血腥残暴的中共计划生育
n10703251,《共产主义黑皮书》：被斩断的红色触手(3)
n10703254,《共产主义黑皮书》：武装暴动的国际化
n10751371,35国学员参加布拉格欧洲法轮大法交流会
n10752312,谭松：一个被摧折了“阳根”的老地主
n10752586,共产暴政录：毛泽东同学夏曦“肃反”创纪录
n10752825,共产暴政录：张国焘鄂豫皖根据地肃反
n10755867,《共产主义黑皮书》：共产国际布尔什维克化
n10743859,古玉文：公私合营献产业 武百祥命陨红朝
n10757209,共产暴政录：红四方面军在四川杀民众百万
n10757284,共产暴政录：苏联红军在东北强奸及兽行
n10755874,《共产主义黑皮书》：“勒死”党内反对派
n10770391,不忘共产主义恐怖历史 东欧多国举办活动
n10757327,共产暴政录：长春围城饿毙几十万人真相
n10755890,《共产主义黑皮书》：苏联制裁外国共产党
n10755946,《共产主义黑皮书》：自我揭发和告密盛行
n10784939,共产暴政录：“抗美援朝”真相
n10782603,《共产主义黑皮书》：大恐怖冲击共产国际
n10785014,共产暴政录：镇压“反革命”运动
n10798292,共产暴政录：五十年代的肃反运动
n10785180,《共产主义黑皮书》：共产党内的恐怖(1)
n10806244,林辉：当炮灰还成“叛徒”王成原型人生尽毁
n10785181,《共产主义黑皮书》：共产党内的恐怖(2)
n10813474,大饥荒是中共有计划的屠杀手段（上）
n10803292,《共产主义黑皮书》：托洛茨基的惨死
n10823173,【还原史实】中共“大跃进” 四千万中国人活活饿死
n10828040,大饥荒是中共有计划的屠杀手段（中）
n10813513,《共产主义黑皮书》：全球追杀托派
n10820695,《共产主义黑皮书》：“奔向乌托邦”噩梦
n10840435,大饥荒是中共有计划的屠杀手段（下）
n10846318,共产暴政录：疯狂恐怖的“红八月”
n10835904,《共产主义黑皮书》：避难苏联 大难难逃
n10835910,《共产主义黑皮书》：逃亡者的陷阱
n10851167,《共产主义黑皮书》：美英对苏联的绥靖
n10870597,罗来炳：一个右派的惨死
n10862355,《共产主义黑皮书》：战俘命丧苏联死亡营 
n10878489,共产暴政录：文革中教师校长被打死
n10866687,《共产主义黑皮书》：共产党趁乱坐大
n10878756,西岸隐士：对当下中共极权主义的研究(二)
n10876998,《共产主义黑皮书》：共产党趁乱坐大——希腊
n10880981,《共产主义黑皮书》：希腊共产党的暴行和败亡
n10892765,《共产主义黑皮书》：斯大林进军西班牙
n10927236,共产暴政录：文革初北京昌平和大兴县大屠杀
n10939788,共产暴政录：湖南道县大屠杀
n10892769,《共产主义黑皮书》：谎言开道 子弹穿颈
n10950821,石铭：二十年迫害 中共罪恶累累
n10920276,《共产主义黑皮书》：西班牙化的“契卡”
n10920284,《共产主义黑皮书》：“审讯和处决大师”
n10965703,共产暴政录：广西文革大屠杀事件
n10966582,林辉：文革一个为妻子报仇的普通军人之死
n10920289,《共产主义黑皮书》：国际纵队的结局
n10979189,共产暴政录：许世友文革中的暴行
n10979206,共产暴政录：“五一六”反革命阴谋集团案
n10989886,共产暴政录：“清理阶级队伍”运动
n10990583,林辉：岳飞忠魂千古颂 中共侮辱英雄可憎
n10920295,《共产主义黑皮书》：流放与死亡
n11000789,共产暴政录：消灭思想先驱的“一打三反”
n11000755,文革处决纪录：非战争下的中国之最
n11000879,共产暴政录：文革中究竟死了多少人
n10975294,《共产主义黑皮书》：“莫斯科之手”
n11010192,共产暴政录：计划生育是毁我中华的屠婴战争（上）
n11010874,共产暴政录：计划生育是毁我中华的屠婴战争（下）
n11002598,《共产主义黑皮书》：游击队与解放阵线
n11010920,共产暴政录：“六四屠城”的几个问题
n11010938,古罗马迫害基督徒与中共迫害法轮功对比
n11010576,《共产主义黑皮书》：铁幕另一侧的秘密战线
n11023887,《共产主义黑皮书》：苏联对波兰人的镇压
n11038216,《共产主义黑皮书》：卡廷屠杀及其它杀戮
n11044645,《共产主义黑皮书》：二战中大规模驱逐人口
n11049930,林辉：被诬施“美人计”一家七口以死抗争
n11045149,《共产主义黑皮书》：波兰救国军被粉碎
n11049918,《共产主义黑皮书》：武力征服 祸害波兰
n11060683,《共产主义黑皮书》：对波兰的恐怖镇压
n11067532,《共产主义黑皮书》：祸害波兰的第三阶段
n11090856,波兰及邻国纪念反共地下抵抗运动
n11093693,林辉：“口吞红太阳”与“领袖最脏”罪
n11067537,《共产主义黑皮书》：“战争状态”
n11088985,《共产主义黑皮书》：战争遗留的暴力
n11111163,《共产主义黑皮书》：共产党的暴力
n11116638,《共产主义黑皮书》：对党外盟友的政治审判
n11121801,《共产主义黑皮书》：捷克斯洛伐克和西方的冷漠
n11148760,林辉：抗战时毒杀日外交官 英雄难逃中共毒手
n11132254,《共产主义黑皮书》：对公民社会的破坏
n11149046,《共产主义黑皮书》：对教会和教徒的迫害
n11175707,《共产主义黑皮书》：对普通人的迫害
n11181947,《共产主义黑皮书》：共产党集中营的系统
n11232692,林辉：为延安贩卖鸦片的毒贩死前缘何喊冤？
n11275879,林辉：中共对三千印度战俘进行红色洗脑
n11181954,《共产主义黑皮书》：共产党集中营新花样
n11195731,《共产主义黑皮书》：审判共产党领导人(1)
n11294499,《共产主义黑皮书》：审判共产党领导人(2)
n11300386,林辉：大饥荒 中共却无偿送几内亚万吨大米
n11297553,《共产主义黑皮书》：审判共产党领导人(3)
n11302519,《共产主义黑皮书》：审判共产党领导人(4)
n11425658,李小刚：中国大饥荒饿死3755.8万人？！
n11302540,《共产主义黑皮书》：审判共产党领导人(5)
n11426917,《共产主义黑皮书》：审判共产党领导人(6)
n11451364,《共产主义黑皮书》：苏联坦克进入匈牙利
n11460166,《共产主义黑皮书》：苏军入侵捷克斯洛伐克
n11464149,周晓辉：将中共定为恐怖组织是迟早的事
n11460175,《共产主义黑皮书》：“后恐怖时期”的中欧
n11468690,《共产主义黑皮书》：后恐怖时期的罗马尼亚
n11473593,林辉：六七香港红潮 新华社分社发动菠萝战
n11473597,《共产主义黑皮书》：“温和”的压迫
n11483864,《共产主义黑皮书》：各国法律上的不同应对
n11511750,《共产主义黑皮书》：马列主义的“第二罗马”
n11541717,林辉：中共70年前承诺建立美国式民主在哪里？
n11546701,林辉：中共70年来杀了多少人？
n11548944,中共建政70年风云(1)：血腥暴力头十年
n11590692,林辉：一个曾给毛献花女孩对父亲的忏悔
n11606736,林辉：文革天津非法监狱“六十三号”的罪恶
n11673471,程晓容：国际风云印证《九评》精准论断
n11871373,荷兰房价再创新高 布罗门代尔最贵
n11900177,中国大陆网民：神秘之花——被苏共杀害的沙俄公主安娜斯塔西娅
n11942655,毛泽东73岁生日自杀的周小舟
n11539005,《共产主义黑皮书》：血腥的狂欢
n12047018,《共产主义黑皮书》：自杀的自我批评者
n12047120,《共产主义黑皮书》：土改下的中国村庄
n12059180,《共产主义黑皮书》：“血之契约”与任意处决
n12068237,《共产主义黑皮书》：红色恐怖下的城市
n12077814,《共产主义黑皮书》：永不停息的镇压机器
n12104791,《共产主义黑皮书》：红旗下的饿殍
n12124578,《共产主义黑皮书》：隐藏的古拉格
n12132785,《共产主义黑皮书》：马列主义的坦白与忏悔
n12145914,《共产主义黑皮书》：以食物为武器
n12149908,《共产主义黑皮书》：因被捕而有罪
n12155877,《共产主义黑皮书》：劳改制度的内部矛盾
n12201639,《共产主义黑皮书》：无可阻挡的学童
n12207320,《共产主义黑皮书》：革命小将及幕后操纵者
n12212294,《共产主义黑皮书》：从派系斗争到粉碎造反派
n12219177,《共产主义黑皮书》：“孤胆英雄”之死 
n12231149,《共产主义黑皮书》：恐怖的终结
n12236764,《共产主义黑皮书》：革命铁蹄下的西藏
n12254810,《共产主义黑皮书》：朝鲜的共产主义受害者
n11798321,天堂梦（3）
n12264387,《共产主义黑皮书》：监狱与营地
n11798408,天堂梦（4）
n12272852,《共产主义黑皮书》：撕碎与犬决
n11864075,天堂梦（5）
n12281758,《共产主义黑皮书》：金家王朝的“神话”
n12281766,《共产主义黑皮书》：朝共治下的300万死难者
n11886245,天堂梦（8）
n12292978,《共产主义黑皮书》：民族主义外衣下的毛主义
n12309086,《共产主义黑皮书》：越盟的土地改革
n12313567,《共产主义黑皮书》：越南版“整风”运动
n11914904,天堂梦（11）
n12333963,【薇羽看世间】鲜为人知的毛泽东 中共的杀人史
n12328805,《共产主义黑皮书》：红色高棉──鲜血写就的历史
n12335569,《共产主义黑皮书》：高棉共和国之毁灭
n11917746,天堂梦（13）
n12343138,《共产主义黑皮书》：被分类的人民
n12351767,《共产主义黑皮书》：自我吞噬的柬共
n12357079,《共产主义黑皮书》：穿过历史的迷雾看真相
n12362072,天堂梦（17）
n12364895,《共产主义黑皮书》：柬共统治下的少数民族
n12358574,【欺世大观】唐山1976年大地震死多少人？
n12370966,《共产主义黑皮书》：柬共治下生命失去价值
n12362227,天堂梦（19）
n12378533,《共产主义黑皮书》：巨大的徒劳
n12392092,《共产主义黑皮书》：喂食的血腥之手
n12396836,《共产主义黑皮书》：心如铁石
n12403036,《共产主义黑皮书》：无知乃恐怖之母
n12387055,天堂梦（26）
n12411383,《共产主义黑皮书》：死亡无处不在
n12420181,《共产主义黑皮书》：监狱群岛
n12430532,《共产主义黑皮书》：柬共的列宁主义本性
n12440065,《共产主义黑皮书》：“无所不能”的儿童杀手
n12445611,《共产主义黑皮书》：“血债血还”
n12362005,【欺世大观】毛泽东推崇的外国“英雄”白求恩
n12452524,《共产主义黑皮书》：社会主义实验
n12465303,王友群：中共海军副司令陶勇“投井自杀”之谜
n12460319,《共产主义黑皮书》：惊人的大跃进
n12465399,《共产主义黑皮书》：波尔布特
n12468578,《共产主义黑皮书》：血腥末路
n12465044,【欺世大观】韩战共军战俘 从炮灰到被打成叛徒
n12475380,《共产主义黑皮书》：社会团体的种族化
n12484122,《共产主义黑皮书》：古巴无休止的极权主义
n12491356,《共产主义黑皮书》：虚无主义恐怖分子格瓦拉
n12496520,《共产主义黑皮书》：卡斯特罗整肃反对派
n12506459,《共产主义黑皮书》：古巴的监狱系统
n12508100,《共产主义黑皮书》：古巴人民付出的代价
n12530776,《共产主义黑皮书》：尼加拉瓜极权主义的失败
n12530780,《共产主义黑皮书》：桑地诺民族解放阵线
n12532173,【欺世大观】传中共备战打台 勿忘长春30万亡灵
n12530805,《共产主义黑皮书》：尼加拉瓜的镇压机制
n12550739,《共产主义黑皮书》：秘鲁共产党的血腥行径
n12556570,《共产主义黑皮书》：“人类自由区”
n12564156,《共产主义黑皮书》：红色帝国埃塞俄比亚
n12570100,《共产主义黑皮书》：“猎狗”与门格斯图领结
n12575454,《共产主义黑皮书》：“善意的胁迫”
