n4037796,史洪愿：右派、现行反革命──林昭
n8858688,郝忠良：给《白毛女》伴奏一辈子才知受骗
n8866965,陈梦家——为传统汉字殒命的悲壮文人
n8870975,反右受难者：上海“歌仙”陈歌辛之死
n8858719,赵翠巧：唱《白毛女》、跟毛周跳舞的经历
n8876742,“红飞蛾”的悲剧——上万知青投身缅共打仗
n8875345,王友琴：曾在芝加哥大学留学的五名文革受难者（上）
n8886211,杨宁：毛泽东被捕真相与一个普通家庭的悲剧
n8882643,林辉：救了中共高官的“红色医生”的结局
n8890329,九三学社和台盟知名人士的难言人生（上）
n8890562,九三学社和台盟知名人士的难言人生（下）
n8893012,《何日君再来》与刘雪庵的坎坷命运
n8896789,邓小平的连襟和弟弟走上了自杀之路
n8887603,丁抒：阳谋（连载）
n8901817,王友琴：六十三名受难者和北大文革（上）
n8905628,林辉：“五反”中行业龙头大佬决绝的一跳
n8936534,“大右派”储安平的生死谜案
n8944781,林辉：“惨”字写就的京剧四大须生之晚景
n8946300,两代精英成右派 地质学家谢家荣饮恨文革
n8966833,中国漫画开拓者丰子恺的文革遭遇
n8969781,吴祖光与新凤霞——文艺伉俪的人生磨难
n8974296,林辉：李大钊与其被中共批斗的长子
n8992485,组图：文革中自杀的留美归国科学家
n8997657,近代社会学家潘光旦的“4S遗言”
n9008069,丁抒：打掉知识分子的自尊心
n9022484,林辉：民国最高院检察长与大法官凄惨的结局
n9016043,“大白旗”冤案：中国病毒学家汤飞凡
n9022279,丁抒：胡风案——空前的文字狱
n9048665,林辉：下关惨案与李、闻之死背后的鬼影
n9063895,林辉：文革刘宝瑞尸骨无存 侯宝林屡被批斗
n9066367,期刊：《九评特刊》151期
n9090863,林辉：当芭蕾舞剧《天鹅湖》主角遭遇文革
n9116522,“改造”知识分子思想 毛重演延安整风
n9129649,林辉：向毛与中共挑战的两名北大学生之死
n9124238,中共打垮知识分子独立人格 华罗庚自杀未遂
n9172021,林辉：民国两大报人误投中共后的绝望
n9206562,林辉：留在北大三任校长及家人身上的痛（中）
n9206448,林辉：留在北大三任校长及家人身上的痛（上）
n9206662,林辉：留在北大三任校长及家人身上的痛（下）
n9226899,林辉：有多少人上了中共《约法八章》的当
n8976716,被枪决的1955年高考状元
n9240275,林辉：红顶商人荣毅仁三次申请退党
n9251052,林辉：误判中共的章培章乃器兄弟之不幸
n9259381,林辉：作家梁实秋张爱玲慧眼看透中共（上）
n9266359,林辉：作家梁实秋张爱玲慧眼看透中共（下）
n9281664,【秘档】反右运动之一：引蛇出洞
n9281889,【秘档】反右运动之二：放长线钓大鱼
n9281979,【秘档】反右运动之三：覆手为雨
n9307432,《残影余像》——艺术家对共产主义的控诉
n9324357,林辉：敦煌躲过劫难 守护者常书鸿遭重创
n9338739,林辉：画家李可染的人生之痛
n9341116,祖孙三代受迫害 前媒体人期盼中共早日解体
n9375056,辛子陵：共产主义地狱（下）
n9375047,中共对知识分子的欺骗（1）延安圈套
n9379204,中共对知识分子的欺骗（2）反右阳谋
n9397781,林辉：百年清华出大师  多人被侮辱戕害（中）
n9396373,林辉：百年清华出大师 多人被侮辱戕害（上）
n9398280,林辉：百年清华出大师  多人被侮辱戕害（下）
n9393043,中共对知识分子的欺骗（3）文革巨难
n9447941,林辉：物理学家欲建劳动党 打成右派拒认罪
n9451888,视频：“共产党百年真相”——傅雷之死
n9477108,中共对知识分子的欺骗（4）自由有多远
n9521893,【秘档】整风中的“张克勤反革命特务案”
n9540593,林辉：审判日本战犯的大法官选择了中共后
n9560370,林辉：捐飞机的豫剧皇后常香玉文革劫难
n9646846,杨宁：捐赠国宝的张伯驹文革被罚爬着示众
n9650312,中共篡改《天仙配》“经典”背后多遗恨
n9657976,杨宁：江青为何要迫害自己的恩人？
n9716788,雾海夜航——跳江自杀的巨星石挥
n9839893,郭婉莹——被遗忘的“上海公主”
n9870365,林辉：文革第一禁书作者曾被内定死刑
n9875323,劫后琴声——中国第一代钢琴家巫漪丽的故事
n9888434,杨宁：周恩来初恋女友投河 其子被打成右派
n9936116,林辉：误信周恩来  南开创始人郁郁而终
n9910984,文革中自杀的名人（1）人民日报总编邓拓
n9947822,文革中自杀的几个名人（2）文联主席老舍
n9955205,黄帅去世 “小学生事件”折射时代悲歌
n9955432,文革中自杀的几个名人（3）红岩作者罗广斌
n9959300,文革中自杀的几个名人（4）史学家翦伯赞
n9966250,文革中自杀的几个名人（5）翻译家傅雷
n9971114,文革中自杀的几个名人（6）留美学者陈梦家
n9978292,文革中自杀的几个名人（8）“御用文人”吴晗
n9992657,林辉：贾宝玉林黛玉扮演者曾被叫“阿飞”
n9996650,揭秘“四一二反革命政变”的历史真相（上）
n10009267,林辉：相声演员马三立苦涩的“逗你玩”人生
n10020053,对知识份子的迫害——思想改造运动
n10018540,戏剧家英若诚的线人生涯
n10029772,林辉：中共翻云覆雨 齐白石去世后被打倒
n10040271,共产暴政录：“胡风反革命集团”案
n10044605,共产党暴政录：反右运动
n10023278,天下收藏第一人张伯驹的悲喜人生（上）
n10066862,智效民：著名物理学家饶毓泰的悲剧
n10077932,中国教育的失败源于破坏传统文化及灌输党文化
n10082527,谢泳：叶企孙饶毓泰的死
n10037691,天下收藏第一人张伯驹的悲喜人生（下）
n10099688,共产暴政录：上山下乡运动
n10131106,林辉：北京四中老师们健忘背后的残酷真相
n10158455,林辉：为何“六九届”学生少有成功人士？
n10169112,立陶宛密档：著名苏联演员为克格勃线民
n10185727,“石油之父”惨遭灭门（上）
n10185855,“石油之父”惨遭灭门（下）
n10203021,泣血而书——民国与文革中知识份子的命运
n10214588,刘晓：斯大林“文学总管”的自我毁灭
n10217581,极限饥饿：灵与肉的双重凌迟（下）
n10239833,袁斌：重温“革命烈士”夏明翰的《就义诗》（下）
n10291663,林辉：热爱自由的北大“右派”之出局人生
n10377672,林辉：民国三位大师眼中的共产主义很可怕
n10405751,林辉：燕京大学校长相信中共后的结局
n10411411,林辉：老海归一辈子最后悔的事就是回国
n10430861,新闻奇才拒赴台湾 命丧中共劳改营
n10446785,共产暴政录：从船王卢作孚自杀看中共劫财手段
n10515170,林辉：蔡元培东床快婿的惨痛人生
n10544471,程晓容：上影厂著名演员跟党走 换来什么
n10561691,林辉：苏联20万“笑话犯”被关背后的荒谬
n10597749,林辉：因曾与美国上将同台 燕大教授一家凄惨
n10619679,林辉：教授从练习低头弯腰到乐极生悲
n10620856,历经磨难的学者——吴门三大右派
n10625340,玉清心：文革“破四旧”不堪回首 但不能遗忘
n10637364,中共“文艺沙皇”被囚9年 晚年反思悲剧终局
n10561101,马三家酷刑受害者：我要站出来说话(1)
n10650677,林辉：开了北大自杀先例的史学教授
n10575414,马三家酷刑受害者：我要站出来说话(2)
n10655885,影评：九死南荒吾不恨
n10649930,马三家酷刑受害者：我要站出来说话(3)
n10650186,马三家酷刑受害者：我要站出来说话(4)
n10670499,林辉：但愿来生不姓“胡”
n10705738,古玉文：红谍郭汝瑰不忘初心 助共为虐食苦果
n10712571,林辉：中共地雷战幕后清华师生的惨死
n10715065,古玉文：公安局长卧底校长 百名少年惨成右派
n10749135,林辉：邓小平女儿指北大曾变成法西斯集中营
n10793353,林辉：金庸堂哥穆旦走到了幻想的尽头
n10834250,林辉：一生没有得到思维乐趣的王小波之父
n10847366,林辉：燕大西语系四教授 文革三死一疯
n10884987,张林：北京长安街上特务多（下）
n10925502,林辉：满清最后一位格格坐了十五年冤狱
n10955771,林辉：携美资料返国 中国石油之父最终绝望
n10977994,林辉：一篇文章惹毛动怒 民间顾准拒辱自尽
n10981686,两位古琴大师的悲剧：毁琴自尽 文革失踪
n10992445,（储安平之子）储望华：沉重的回忆
n10997801,林辉：国军重庆号巡洋舰官兵投共后的苦难
n11004578,林辉：宁跳珠江也不批孔子的金石界大家
n11005892,萧红的沦陷与疏离
n11020634,林辉：与张大千比肩的画坛宗师饮恨而终
n11022591,玉清心：物理大师束星北 一曲悲怆的挽歌
n11027279,孙盛起：总会有无畏的勇士记录历史的真实
n11034634,林辉：样板戏李玉和阿庆嫂等扮演者的命运
n11042647,林辉：咏春拳文革遭遇是武林劫难的缩影
n11070799,林辉：因如此荒诞理由 他们成为了“右派”
n11478084,翻译家巫宁坤爱国竟受难 历劫著书留警训
n11535984,逃到香港 靠远见躲过劫难的中国遗传学之父
n11648921,林辉：国家足球队头号前锋文革缘何自杀？
n12126358,【直播回放】5.21疫情追踪：两会开幕 北京天黑
n12168749,《共产主义黑皮书》：中国共产主义失去动力
n12190329,《共产主义黑皮书》：红卫兵的荣耀时刻
n12357101,【欺世大观】单挑毛江 黄万里预言三峡加剧灾情
n12384788,王友群：敢痛斥毛泽东的大作家聂绀弩
n12632697,王友群：北京大学文革中第一个自杀的教授
n12658168,中共“救命恩人” 著名法学家被整家破人亡
n12678112,回忆录：右派家属母子的百年血泪（1）
n12679738,回忆录：右派家属母子的百年血泪（2）
n12683820,回忆录：右派家属母子的百年血泪（3）
n12686410,回忆录：右派家属母子的百年血泪（4）
n12690994,王友群：文革中石破天惊的“万言书”
n12692515,回忆录：右派家属母子的百年血泪（5）
n12698863,回忆录：右派家属母子的百年血泪（6）
n12706141,王友群：被中共判刑十年的杰出法学家盛振为
n12706191,回忆录：右派家属母子的百年血泪（7）
n12706196,回忆录：右派家属母子的百年血泪（8）
n12792913,王友群：天才物理学家束星北晚年拒绝加入中共
n12883028,大纪元印刷厂被袭 加国会议员：无法容忍
n12954229,王友群：批“党天下”的大右派储安平失踪之谜
n12970787,王友群：著名法学家江平最刻骨铭心的经历
n12974997,周晓辉：两弹一星功臣难逃迫害 核试验遗害至今
n12986411,被遗忘的百年历史（I）1920至1950
n13006682,田云：党媒吹捧社会主义 中共百年误国害民
n13030600,中共罪行录之二十八：切菜切出反革命
n13057367,研讨中共百年 纽约华人“送匾”：祸国殃民
n13069132,航天投资书记张陶殴打科学家 引发国际关注
n13071430,清华老教授怒斥：中共为党庆挥霍纳税人钱
n13084157,纽约华人曼哈顿集会 清算中共百年反人类罪
n13084645,王友群：北京大学教授王重民文革中悬梁自尽
n13150966,王友群：北京大学一级教授向达文革被迫害致死
n13291790,王友群：中国的功臣 中共的囚徒
n13281535,无神论者向神的宣战
n13307502,王友群：王实味被中共枪毙之谜
n13324909,王友群：毛泽东制造的“胡风反革命集团案”
n13412316,李清：《海瑞罢官》与京剧大师马连良之死
n13444722,王友群：中共左祸横行时仍坚持独立思考的顾准
n13459280,李清：失聪人和小提琴的情结
n13592541,王友群：毛泽东授意打倒的“胡风分子”阿垅
