n1411013,法轮功学员北京被捕太太赴美求救
n2360582,加移民部特签法轮功学员王海涛居住证
n2362011,故事﹕张大妈有房不租“六一零”
n2362027,投书﹕24小时里与警察的对话
n2362872,同事的变化
n2367054,一位老母亲在中共黑暗统治下的痛苦觉醒
n2369925,唐山庭审法轮功  律师首次罢庭抗议
n2373289,律师为法轮功无罪辩护 法官拟择日宣判
n2373422,勇闯禁区的韩国牧师——徐京锡
n2375977,澳主流杂志邀法轮功作家评08中国大事
n2378870,突破中共禁令为法轮功无罪辩护成潮流
n2382932,大陆员工放鞭炮欢迎法轮功学员
n2384340,大陆律师：向公安部举报江泽民的诽谤罪
n2384892,公安局长劝三退 三年“劝退”上千人
n2385350,澳洲民众：我要写信给中领馆 呼吁停止迫害
n2391825,加拿大正式出版英文版《心中的宝塔》
n2392038,一个企业干部的觉醒
n2386878,我永远都会记住“法轮大法好”
n2391830,辛灏年：感悟生命真谛——评《心中的宝塔》
n2400095,讲真相、劝三退实事十则
n2400914,律师坚持原则 庭上历数执法者违法
n2408174,高干家族冤案 众亲属联名画押誓不罢休
n2412790,2009迫害法轮功十周年  联合国审查中国人权现状
n2412919,组图：北方某城市“退党”横幅标语遍地
n2414393,狗咬“吕洞宾”　识得好人心
n2420981,老请警察喝酒的青年工人的善举
n2421459,为法轮功无罪辩护引发律师集体维权抗议
n2421700,火燃到哪  字就红到哪
n2424107,郑教授所说确有道理
n2425321,“法轮功说的绝无虚言”
n2435516,抗议成都市中院违法 14律师联署意见书
n2437382,车间主任给工人发放“神韵”光盘
n2455753,追查国际就中共以世界大学生冬季运动会的名义迫害法轮功学员的调查报告–佳木斯市
n2456822,司徒华：凤凰卫视抹黑反助法轮功
n2458112,港泛民主派政要支持法轮功讨公道
n2458534,前中共国安部对外情报警官公开真名退党
n2470755,陈大爷的觉醒
n2472638,“您一定是炼法轮功的”
n2472641,看神韵 传神韵 得福报
n2477433,从台南县政府推广法轮功看两岸对比
n2477311,青年法轮功学员陈腾经营救抵美
n2479217,美器官移植伦理会 著名专家吁停止培训中国医生
n2480500,全球营救向奥巴马递函 吁营救4位中国母亲
n2481747,法轮功案事态扩大百人联名吁法院回避
n2484698,李长春访日期间 被追查国际追踪
n2487193,加贸易部长访华前  法轮功受迫害被提出
n2490302,大学师生明真相　感受精神力量
n2491681,一位受十七名美国议员关注的中国人
n2496813,欧洲议会召开法轮功听证会
n2497452,印度德里警校千名学生学炼法轮功
n2497771,美作家伊森‧葛特曼谈4‧25真相
n2505281,前中共谍报官欧议会揭迫害法轮功内幕
n2506569,欧议会副主席：迫害法轮功如同纳粹对犹太人的群体灭绝
n2507240,欧洲议会副主席致信潘基文 吁制止迫害法轮功
n2509295,【印度新德里洪法4】大法的美好弘传购物广场
n2510645,明慧网特约评论：解体中共　制止迫害
n2512012,瑞士周日报：法轮功：历经血雨腥风 信仰岿然不动
n2512028,法广：历经十年最惨烈的迫害　法轮功屹立不倒
n2514575,美国会议员：我与法轮功团结的站在一起
n2514945,十年后西方人眼中的4.25
n2514967,纽约时报：中共依然迫害法轮功
n2515942,中共药物摧残法轮功学员 联合国关注
n2517098,有莲花才可以回家
n2519320,法轮大法洪传印度(一)
n2519362,法轮大法洪传印度（二）
n2520066,炼法轮功遭酷刑劳教 前宣传部官员获营救抵纽
n2520453,新西兰联合部落酋长联盟褒奖法轮大法周
n2519366,法轮大法洪传印度（三）
n2521028,台湾六千人排演立体《转法轮》 感颂师恩
n2521526,组图：法轮大法洪传114个国家地区
n2521613,组图：法轮大法六千人集体炼功 壮观宏伟
n2521935,组图二：法轮大法六千人集体炼功
n2521224,加国多位部长议员感谢法轮大法福益社会
n2524672,高德大法
n2524415,组图：法轮大法洪传印尼
n2525941,《转法轮》描述的功柱惊显台湾6千人排字现场
n2527948,天国乐团加首都获奖
n2534151,【热点互动】法轮功为什么洪传世界(3)
n2533801,美国会议员罗拉巴克：法轮功是世界唯一的希望
n2534544,威武不屈的大丈夫——卞和祥的故事
n2538995,VOA社论:为法轮功辩护 中国人权律师被施暴
n2541258,比利时高等法院举行起诉610案听证
n2542798,比利时法轮功要求继续调查中共骚扰案
n2543042,加拿大邓肯市褒奖法轮大法
n2543583,为法轮功无罪辩护  大陆律师理直气壮
n2543594,法国圣法德佩罗利埃市长表明支持法轮功
n2544788,农民走上修炼路 全单位都称赞
n2545025,雅加达邮报：法轮功在印尼洪传
n2549804,数百民众联合国前吁“解体中共 制止迫害”
n2549928,纽约中领馆前雨中的坚持　“为救人”
n2550476,组图1：曼哈顿六千人大游行—大法洪传
n2550478,“愿主保祐”各国游客支持法轮功反迫害
n2550479,组图2：曼哈顿六千人大游行
n2550481,组图3：曼哈顿六千人大游行——大法洪传
n2550487,华人看法轮功游行：感动！振奋！
n2550497,组图7:曼哈顿大游行——解体中共停止迫害
n2550502,组图8：法轮功曼哈顿大游行
n2550514,组图9：法轮功曼哈顿大游行
n2550527,法轮功纽约大游行 呼唤良知停止迫害 人心被震撼
n2550550,法轮功游行中的原北京大学副教授
n2550573,从台北来到纽约 说三退口若悬河
n2550576,大游行前听小故事
n2550670,亲历迫害 法轮功学员呼唤正义良知
n2550677,SOS获益者：真相渐入人心　正义支持多
n2557478,美国会议员史密斯：将在联合国提出法轮功问题
n2559109,加拿大勋章得主：法轮功将风行中国
n2560518,土耳其文《转法轮》正式出版发行
n2561850,法轮功获澳洲悉尼节日游行双项冠军
n2566668,看守所所长的心声
n2569838,中共外长UN开会 法轮功吁制止迫害
n2580230,加移民部长：感谢法轮功提醒人们认清共产邪恶
n2583817,美国会逾60议员敦促总统全面帮助法轮功
n2584489,全球营救纽约抗议韩国遣返法轮功学员
n2582476,无惧中共镇压 法轮功全球频获支持褒奖
n2586903,中领馆前的法轮功学员
n2588491,澳洲诉江案720开庭在即 民众声援
n2586906,十年来国际社会对法轮功团体的支持
n2591162,四位中共官员的出走与觉醒
n2591405,大陆律师为法轮功辩护 法官理屈词穷
n2592267,勇气与精神的十年—7.20（英文）
n2592682,基督守卫联盟主任﹕解体中共人民才自由
n2592714,在海外被告上法庭 中共高官岌岌可危
n2592976,追查国际：全面收集罪证 制止迫害
n2592980,组图﹕美国多位国会议员声援法轮功
n2592859,国会议员：“真善忍”使中共无地自容
n2593053,美智库：中共解体是历史的必然
n2593046,组图：非政府组织代表现场声援解体中共　停止迫害法轮功大集会
n2593042,追查国际：关于全面收集中共对法轮功迫害的罪证的公告
n2593416,基督教妇女总联：世界最大的非暴力运动
n2593457,720十周年 大阪吁政府支持法轮功正义之举
n2593753,加拿大淘金节大游行　法轮功再获奖
n2594677,10年反迫害，黄色快车歌手发布独唱专辑
n2594766,台桃竹苗法轮功学员720前夕反迫害游行
n2594765,720反迫害 台湾桃竹苗法轮功学员烛光悼念
n2594959,组图：台桃竹苗法轮功学员720反迫害游行
n2595052,组图2：台桃竹苗法轮功学员720反迫害游行
n2593326,联合国人权报告中500起法轮功案例（下）
n2596239,7.20十周年 温哥华学员集会吁制止迫害
n2596573,720十周年墨尔本烛光悼念 民众悲伤落泪
n2596701,清华受迫害法轮功名单被列美国会记录
n2596753,法轮功反迫害集会 加高贵林市长打横幅
n2596831,法轮功反迫害10年 民众看到希望
n2597076,图片：解体中共 结束迫害
n2595156,组图：法轮功反迫害十年历程回顾（四）
n2597545,英国卫报: 中共镇压法轮功“转入暗中”
n2598566,真善忍国际美展 在美国国会大楼引震撼
n2599274,朱婉琪︰西班牙司法调查迫害法轮功元凶
n2599898,谢燕益律师对邓小明案一审辩护词
n2600217,美国议员：现在是中国改变的时刻
n2600224,美国议员：必须终止残忍的迫害
n2600311,澳洲ABC国家电视台新闻专题报导法轮功
n2600393,美国议员：我将继续和中共暴政斗争
n2600464,十年风雨 见证法轮功坚韧不屈的精神(2)
n2601909,北韩自由联盟主席：为法轮功大声说话
n2601902,美国会议员：你们是勇气的见证
n2602257,十年和平反迫害 见证法轮功的坚韧不屈
n2603142,西人新学员：“我也要将传单送到更多人手中！”
n2603144,饭庄奇遇
n2607713,大陆来信：现在还有这么好的人！
n2609791,捍卫台湾最前线 马祖首见5800万退党游行
n2611431,保卫科人员的心声
n2614783,台湾法轮功学员邵玉华历劫归来
n2616336,中共践踏人权 纽约市长候选人拒访北京
n2619489,港各界批南韩遣返法轮功学员
n2619545,网路黑客：我想成为法轮功弟子
n2624071,“咱还要按真善忍做好人呢！”
n2624597,黑龙江学员家属集体控告中共迫害法轮功
n2628709,现在还有这样好的人！
n2632961,卡尔加里退党服务站的小故事（2）
n2633473,健身馆经营者愤书“打倒中共”
n2648060,玉清心:瓦格纳歌剧节上名流为“三退”叫好
n2648288,美众议员联名致信李明博 关注法轮功
n2648478,“真善忍国际美展”在恒春
n2655659,卡尔加里退党服务站小故事（3）
n2658445,09汉堡文化节倡导“宽容” 法轮功获支持
n2638188,身穿写有“打倒中共，自由万岁”的人（图）
n2663374,北美机场的“编外义工”
n2664690,胡锦涛抵达纽约 法轮功要求停止迫害
n2669515,联合国：8％的酷刑折磨发生在精神病医院
n2670478,李洪志大师获奖 弟子代表领奖并致谢
n2674318,组图﹕十一饭局前  人群先看起法轮功真相
n2676441,大陆法轮功学员恭祝创始人中秋快乐
n2676466,大陆法轮功学员恭祝创始人中秋快乐（二）
n2676480,港籍女士在沪面临起诉 美国议员营救
n2676876,大陆法轮功学员恭祝创始人中秋快乐(三)
n2677635,大陆法轮功学员恭祝创始人中秋快乐(十二)
n2677747,大陆法轮功学员恭祝创始人中秋快乐（十三）
n2677732,大陆法轮功学员恭祝创始人中秋快乐(十四)
n2682630,西雅图制止迫害法轮功集会
n2683026,歧视法轮功　纽约中餐馆被罚2万1千美元
n2685860,天国乐团意大利首亮相  华人赞叹愿“三退”
n2692130,实践真善忍的好人频获奖系列报导－工作篇
n2693000,将军明真相
n2693093,实践真善忍的好人获奖系列报导-校园篇
n2689125,实践真善忍的好人获奖系列报导家庭篇
n2692629,母亲被抓女儿求助 奥巴马回函关注
n2699268,无辜被劳教 法轮功学员告唐山劳教委员会
n2705876,世界首个“国会法轮功之友”加拿大成立
n2706324,奥巴马访华前　美媒体呼吁关注退党潮
n2708464,中共副总理澳布里斯本遭抗议
n2709350,泰国健康博览会 民众喜闻大法
n2711704,在洗浴中心做三退
n2713954,一位伦敦人三去‘法拉盛’的见闻
n2717388,实践真善忍 法轮功学员频获优良教师
n2718403,马国器官捐赠座谈会 中共活摘法轮功学员器官引关注
n2721840,美日峰会期间日籍华人吁营救姐姐
n2724333,奥巴马总统访华应该了解的10件事
n2724763,明慧网海外花絮(2009/11/9-15)
n2724778,国际社会“反对中共迫害法轮功”风潮
n2725196,奥巴马访华 全球营救吁助营救美居民亲属
n2730915,法广：西班牙法庭向江泽民下传票　
n2730916,法新社：西班牙法官欲传讯江泽民
n2736881,西班牙法院开审迫害法轮功元凶(3)
n2736889,诉江案 西班牙外交部：政府不干涉司法
n2737705,西班牙案开先例 中共25高官岌岌可危
n2737890,加国前议员吁总理关注法轮功学员人权
n2739762,加国会法轮功之友：总理访华 吁释放被囚禁法轮功学员
n2739770,大陆老教授姜友陆参加法轮功学员巴黎大游行
n2744765,澳纽省上议员：非常高兴看到西班牙审江案
n2745098,用音乐揭露中共迫害 Rise-Ascend发布新专辑
n2747214,林缘：一群让中共无可奈何的律师
n2750411,非法庭审中律师的有力驳斥
n2751382,世界人权日 澳洲法轮功诉陈绍基案再次聆讯
n2751771,世界人权日 NPC聚焦法轮功
n2753236,泰国际心理科学气功展 法轮功传真相
n2755318,台高检署受理台湾法轮功控徐光春迫害人权
n2755379,首个抵台中共官员被告 徐光春接法轮功诉状
n2757788,徐光春在台被告 律师促台尽速侦查
n2759974,国际人权组织：将活摘器官元凶绳之以法
n2762691,司徒华：中共活摘器官是系统罪行
n2763319,阿根廷诉江案律师访谈录
n2763078,平和力量感动人心 台湾民众行动支持法轮功
n2764483,华邮、纽时报导阿根廷法官下令拘捕江泽民
n2764504,记者会公布阿根廷法庭对江罗逮捕令
n2764529,阿根廷大法官诉江裁决获广泛赞誉和支持
n2765303,抗议陈云林 台警察竖拇指：“法轮大法好真善忍好”
n2765661,阿根廷下令逮捕迫害法轮功元凶(1)
n2765688,原中科院科学家：诉江影响大作用深远
n2767214,阿根廷下令逮捕迫害法轮功元凶(2)
n2771677,阿根廷法轮大法学会声明尊重该国司法独立 谴责中共施压
n2773534,大陆乡村、边远地区大法弟子向法轮功创始人恭祝新年
n2777343,这个消息不胫而走：“江泽民成了国际通缉犯”
n2779302,联合国：法轮功学员在关押期间被致死
n2783809,法轮功洪传台湾校园 （上）
n2782923,前中共官员曝光宣传部手法(3)
n2787692,韩国检察厅正式刑事起诉中共暴徒
n2788784,东北四百人签名促释放法轮功学员李兰英
n2791685,法国电视5台揭露中共活摘器官暴行
n2791719,国际人权协会：制止中共抢劫人体器官
n2792792,调查中共活摘器官 律师获颁2009人权奖
n2792859,揭秘谷歌中国对敏感词汇的惊人过滤
n2798938,大庆法轮功学员受迫害案例提交联合国
n2804239,宜兰监狱表彰法轮功协助教化有成
n2808879,高智晟失踪1年 台NGO呼吁国际协寻
n2810035,欧卫屈膝独裁政府 格鲁吉亚控告
n2810509,加拿大三城市声援6800万“三退”大潮公告
n2811386,优昙婆罗花盛开 法轮圣王下世普度
n2813106,《血腥的活摘器官》作者获诺贝尔和平奖提名
n2817313,公安人员90%看过《九评共产党》
n2820379,读《转法轮》做名好学生
n2823897,关注法轮功 麦塔斯获诺贝尔奖提名 加媒热报
n2834652,诺奖候选人谈呼吁停止迫害的不凡经历
n2836454,派出所所长的真心话
n2837782,澳大利亚首家天梯书店隆重开张
n2843990,好小伙含冤离世 376乡亲联名支持申诉
n2845301,联合国酷刑特派员会见受迫害法轮功人士
n2847786,美国会通过议案 要求立即停止迫害法轮功
n2849370,陈师众联合国再次发言 呼吁关注中共对律师的迫害
n2855019,美国会议员：法轮功学员是和平的使者
n2865104,投30份传单判刑3年半  台立委：中共令人发指
n2865473,任百鸣：法轮功在海外华人中的口碑
n2866488,绝处逢生 普大博士生：在自由网路找到希望
n2867307,法官裁定干预言论自由  法轮功人权应被保障
n2868067,加议员：全民退党是民权社会范围的扩大
n2875199,中共党魁来访之际 追查迫害法轮功国际组织公布嫌犯名单
n2875958,376位乡亲为冤死法轮功学员申诉 当局恐慌
n2878743,七旬老母要求立即释放命危的女儿
n2880487,因法轮功案被吊销执照 律师：不会动摇
n2883263,德国媒体：神韵源自心灵之美
n2884005,从怕到炼 拥有安全感
n2886782,4.25万人上访真相 中科院专家披露亲身经历
n2887210,卢雪松在香港“四．二五”反迫害大集会上发言
n2887212,朱婉琪律师在香港“四．二五”反迫害大集会上发言
n2887224,邱明伟在香港“四．二五”反迫害大集会上发言
n2887227,孙文广在香港“四．二五”反迫害大集会上发言
n2887231,梁耀忠在香港“四．二五”反迫害大集会上发言
n2887637,追查迫害法轮功国际组织﹕搜集610办公室成员名单和罪证
n2887464,追查国际：搜集610办公室成员名单和罪证的公告
n2888068,四二五11周年 港各界支持法轮功反迫害
n2888587,4.25纪念日 爱城市民虔诚亲吻法轮功传单
n2889996,联合国历年报告中关于中共摘除法轮功学员器官的指证
n2890234,法轮大法信息中心在美国会公布年度报告
n2890613,非政府组织领袖：敦促奥巴马听从国会要求 会见法轮功代表
n2897264,东西方人都喜欢的幼儿园
n2898133,大连律师遭迫害  联合国人权报告关注
n2898754,376人为法轮功学员申诉 当局称事件已定性
n2900303,加拿大法庭驳回《华侨时报》对《大纪元》起诉
n2902985,感恩法轮功创始人   大法日三度日月潭扩大举办
n2903639,修者日众　法轮功学员感师恩
n2903662,曼哈顿天梯书店 法轮功义务开班教功
n2906220,中国维权律师遭吊照 港关注组强烈谴责
n2907143,华南法轮功学员恭贺创始人华诞暨世界法轮大法日（逾80地）
n2907145,明真相世人恭贺李洪志大师寿辰
n2907163,法轮功小学员敬祝创始人华诞快乐
n2907189,大陆法轮功学员贺创始人华诞暨世界法轮大法日（八，逾210地）
n2908261,海外法轮功学员恭贺创始人华诞暨5.13世界法轮大法日
n2910146,国际政要祝贺5.13世界法轮大法日
n2911887,法轮功学员受迫害案例投递联合国
n2912836,5.13世界法轮大法日与大法弟子互动(3)
n2912419,攻击法轮功学员 中共两暴徒被韩国法院判刑
n2918765,欧洲议会关注中共活摘法轮功学员器官
n2918768,法轮功报导获法国著名新闻学校新闻奖
n2931980,台法轮功控告《联合报》伪造文书及加重诽谤
n2934318,一个让我震撼的故事：十字街头 万元请书
n2934109,渥太华市议会一致通过褒奖法轮大法
n2934623,一位大陆基层领导的改变
n2935564,法国月刊呼吁：停止酷刑迫害法轮功
n2937805,印尼法轮功学员在官方电台接受直播采访
n2944033,诉江案令习近平访问澳洲面临尴尬
n2946164,诉江案原告揭跨世纪大迫害 呼唤正义
n2950064,中共官员刺探法轮功  德检察官调查
n2950215,德媒：涉嫌刺探法轮功 中共高官面临调查
n2951036,韩美术展呈现法轮功修炼者处境
n2951401,诉江案澳洲法院开庭 原告律师：江不享有豁免
n2953566,联合国特派员质询法轮功学员由于信仰而被迫害致死
n2957340,美国首都独立日大游行 法轮功气势磅礡受欢迎
n2957872,美国首都独立日游行-法轮功天国乐团
n2958950,北京律师在山西庭辩：信仰、交流、传播法轮功无罪
n2966542,薄熙来若到台湾  法轮功一定提告
