n1374486,欧议会副主席对活摘器官的调查报告
n1493925,法轮功受迫害真相联合调查团(CIPFG)拟赴大陆调查通报(一)
n1493927,国际呼声高 CIPFG调查团拟赴大陆调查
n1494112,澳议员:施压保奥运前独立调查评估出炉
n1495421,陈沅森：制止“我们这个星球上前所未有的邪恶”！
n1503861,欧政要将要求联合国介入曹东高智晟案
n1524959,乔高华沙揭中共活摘器官孽行
n1531142,麦塔斯：国际社会关注中国活摘器官
n1534374,澳赴中国调查团成立 调查活摘器官指控
n1537576,爱尔兰邀乔高 要求中共开放调查器官真相
n1537794,乔高和麦塔斯参加比利时器官移植与伦理研讨会
n1537837,澳广：澳调查团要求进中国调查活摘器官
n1538488,澳成立政要专家团 拟赴中国查活摘器官
n1540706,加调查员作证法总理府 吁奥运移师巴黎
n1542030,比利时媒体：“联合真相调查团”调查器官摘取
n1543313,中国器官交易调查员弗拉蒙议会寻求支持
n1545272,【热点互动】剖析中共如何应对活摘器官调查(续)
n1546270,成立“中共活摘器官独立调查团”势在必行
n1546753,比利时报纸《Gazet van Antwerpen》报导中共活摘器官
n1551582,马来西亚《东方日报》整版报导麦塔斯活摘器官报告
n1552098,CIPFG亚洲分团成立 多国精英共组
n1552426,马来西亚《东方日报》整版报导调查中共活摘器官报告
n1562436,马国副团长：中共应正视全球的独立调查诉求
n1562509,亚洲六地区连线 叩门查中共摘卖器官
n1568796,“法轮功受迫害真相联合调查团”关于高智晟律师的严正声明
n1573702,马国《太阳报》：无法解释的4万余宗器官移植
n1582175,澳真相调查团新年派对 探讨未来计划
n1583781,乔高：发现新活摘器官证据
n1588235,乔高在法国参议院谈中国恶劣人权
n1579033,大纪元退党综合特刊(简繁体版下载)
n1602186,福布斯：探索全球器官移植内幕
n1605209,活摘器官再度在斯德哥尔摩曝光
n1605280,加拿大亚省研讨会 再揭中共活摘器官
n1608310,加调查员将披露活摘器官新证据
n1609836,加调查员公布活摘器官新证据 中共军方介入
n1609833,加拿大报告：中国军方摘取法轮功囚犯器官
n1611147,心言：看中共如何应对活摘器官新证据
n1611213,国际宗教委员会：中国宗教自由状况恶化
n1611290,加两律师促莫赴中国接受器官移植
n1612631,马来《中国报》报导调查员公布加拿大报告
n1617035,心言：中共在默认活摘器官的惊天罪恶
n1617749,加调查员新证 活摘器官来源多是法轮功学员
n1622347,活摘器官调查团成立就绪 数百国际精英
n1625984,活摘器官调查团进入中国调查时期已经来临
n1634601,新加坡人去中国换器官要三思
n1644651,麦塔斯揭中共盗摘器官 震惊费城听众
n1645777,皇家医药期刋：法轮功被活取器官可能性
n1648557,联合国酷刑专员要求中共解释器官移植疑点
n1657563,血淋淋的器官摘取
n1660575,揭中共活摘新证 麦塔斯展开德国之旅
n1662202,乔高访英 在议会大厦讲述“血腥收获”
n1662338,麦塔斯揭中共活摘器官 德国民众震惊
n1665208,德国公众聚焦中国“被盗的心”
n1668845,麦塔斯与乔高致国际奥委会主席的公开信
n1668928,法兰克福汇报：死刑犯器官不够移植用
n1676821,德国国会听证活摘器官指控  吁关注
n1677753,澳真相调查团将公开中共迫害法轮功实例
n1679001,活摘器官调查员在加国瓦尼尔学院演讲
n1685421,匹玆堡举行揭露中共活摘器官研讨会
n1685796,中共活摘法轮功学员器官，震惊密西根二大学
n1686033,哥大师生关注中共活摘器官
n1686252,普林斯顿大学内学者纵论中共活摘器官
n1686492,国际器官捐赠峰会 乔高揭中共活摘罪行
n1686638,加媒采访CIPFG北美团长谈活摘器官
n1688235,哥大研讨会遭骚扰 煽动性电子邮件曝光
n1712752,“沾满鲜血的收获”英文公共论坛预告
n1722895,加又一议员加盟活摘器官真相调查团
n1727985,迫害真相调查团：8月8日不回应则抵制北京奥运
n1730643,麦塔斯:改善中国人权根本解决办法就是结束中共统治
n1731203,受调查团精神感召 又一加国议员加盟
n1738208,政要联名致函胡温 开列停止迫害时间表
n1744163,迫害真相调查团香港召开记者会
n1744162,澳大利亚公民委员会主席促查活摘器官
n1744250,真相调查团东京介绍人权圣火计划
n1755529,人权圣火计划铺开 调查团征集歌曲暨标志
n1781442,“追查国际”组织﹕已完成对中共迫害法轮功罪证系统调查
n1783841,中共活体摘除法轮功学员器官运作内幕调查报告
n1801543,大卫‧麦塔斯获加拿大律师协会人权奖
n1815655,安世立: 活摘器官无疑正在中国发生
n1829768,欧议会副主席称活摘法轮功学员器官犯罪
n1831106,中国问题专家荟集 新西兰观众意犹未尽
n1831945,新西兰国会举办中共活摘法轮功学员器官听证
n1843619,麦塔斯谈活摘法轮功学员器官犯罪涉及的相关法律议题
n2011291,大卫．乔高以色列述“血淋淋的活摘”
n2070338,麦塔斯UCSD陈述活摘器官更多证据
n2086229,追查国际在美国会揭露: 中共利用奥运加剧迫害法轮功
n2112878,大卫‧乔高麦吉尔大学陈述活摘器官更多证据
n2221858,麦塔斯澳墨尔本演讲  吸引法律界人士
n2480004,Hugo：活体超市与行刑车
n2580944,麦塔斯现身日本电视 揭露中共活摘器官
n2726164,加国会法轮功之友主办活摘报告新书发布
n2748626,麦塔斯：澳洲民众在逐渐了解事实真相
n2791719,国际人权协会：制止中共抢劫人体器官
n2792792,调查中共活摘器官 律师获颁2009人权奖
n2813106,《血腥的活摘器官》作者获诺贝尔和平奖提名
n2844084,麦塔斯揭器官活摘 纽约人震惊
n2899245,大陆媒体曝光器官黑市 学者称勿掩中共罪恶
n2919016,老久：从工程院院士的跳楼看中共活摘器官的黑幕
n2928923,《血腥的器官摘取》一书温哥华首发
n2928903,麦塔斯四年调查  中共骚扰不断
n3280039,《中国农民调查之等待判决》读后
n3318195,英议会法轮功研讨会 曝中共盗摘器官新证
n3325041,参与迫害法轮功的人还有出路吗？(2)
n3436589,参与大陆器官秘密交易 3名韩国人被捕
n3686172,联合国人权大会曝光法轮功学员在中国被活摘器官
n3723633,中共活体摘取法轮功学员器官报告（一）
n3724543,中共活体摘取法轮功学员器官报告（二）
n3724858,中共活体摘取法轮功学员器官报告（三）
n3725675,中共活体摘取法轮功学员器官报告（四）
n3726649,中共活体摘取法轮功学员器官报告（五）
n3727492,中共活体摘取法轮功学员器官报告（六）
n3728281,中共活体摘取法轮功学员器官报告（七）
n3730128,中共活体摘取法轮功学员器官报告（九）
n3731096,中共活体摘取法轮功学员器官报告（十）
n3731895,中共活体摘取法轮功学员器官报告（十一）
n3733778,中共活体摘取法轮功学员器官报告（十四）
n3734691,中共活体摘取法轮功学员器官报告（十六）
n3772936,18名女性在劳教所被脱光投入男牢房遭强奸（慎入）
n3785075,加拿大国家器官论坛 吁国际社会全面调查
n3792092,医学教授：医生应站出来制止中共活摘暴行
n3805638,江泽民对习李政权有道密令“摀不住也要捂”
n3810776,台器官移植修法 推动登录严禁中介
n3810865,中共官方再度承认曾“系统利用死囚器官”
n3811397,台境外器官买卖中介 拟课刑责
n3811433,不法境外器官移植 台专家：应加强立法
n3821789,终结国家掠夺器官 大卫•乔高出席澳洲研讨会
n3828698,正善：吉林宣传部密令透露出的罪恶
n3835245,肝移植界权威：世界移植界知道中共强摘器官
n3842216,【郦剑锋】马三家铁幕撕开，中共难逃法网
n3848353,英议会将举行强摘器官听证 民众促议员关注
n3859477,中共活摘法轮功学员器官罪恶 引英国政界震动
n3864064,媒体的道义　民众的良知
n3877302,活摘器官令人发指 硅谷发明家中断6千万中共投资项目
n3902446,英议会再开“活摘器官”会   议员拟采取举措
n3905905,美密州居民与法轮功相遇 签名支持反迫害
n3906765,苏格兰议会议员：将提交禁止贩卖器官修订案
n3913704,专访保释中的杜斌：中共欲用大纪元专访罗织罪名
n3915238,爱尔兰各界震惊中共活摘器官罪行
n3921434,专访大卫乔高：中共活摘器官的罪恶仍在继续
n3936322,波特兰地区居民征签呼吁停止中共活摘器官
n3943029,章阁：孔子若在世 必然斥骂中共活摘暴行
n3951037,香港政要民众齐签名 促制止活摘器官
n3954074,瓦格纳歌剧节上 揭中共活摘器官
n3956384,【枫城评论】薄熙来案之我见
n3971747,德国联邦国会议员：我知道，我来签
n3971689,美总领事夏千福首次演讲 企硬支持香港真普选
n3981522,乌克兰官方网站报导中共活摘暴行
n4003457,超20万韩国人征签 谴责中共活摘器官
n4013023,中共活摘器官罪行震惊丹麦医学界
n4017409,麦塔斯律师在台揭中共活摘器官未歇
n4019391,中共活摘器官 国际人权律师：制止刻不容缓！
n4020917,华沙联合国气候变化会场外征签的故事
n4021826,香港政要学者斥中共活摘器官无人性
n4023419,澳洲纽省议会史上之最 十七万民众签名反活摘
n4023494,中共活摘器官在香港大曝光 全球联署百万
n4023573,【杨宁】这样的研讨会开到了家门口 中共真完了
n4024154,玉清心：香港研讨会是围剿中共活摘罪的新里程碑
n4028461,【杨宁】中国器官移植大会上有多少是杀人凶手？
n4030334,韩国38万人联署反中共活摘 证人出场
n4031371,150万反活摘签名递交联合国 各界人士支持
n4033937,【周晓辉】党媒又泄滔天罪恶 江系再逼习近平？
n4033977,“（活摘）必须被制止! ”欧议员声援法轮功
n4042299,【世事关心】生死之间2013版（四）
n4056420,【细语人生】开心女孩依旧伤心（下）
n4070896,【世事关心】生死之间2013版 (五)
n4097277,美国伊州众议院全票通过决议案 谴责中共活摘
n4116263,【世事关心】欧洲议会决议谴责中共活摘器官
n4136268,国会议员反活摘国际联盟亚洲区宣布成立
n4206383,陈思敏：制止中共活摘 澳洲议会再创新例
n4226486,葛特曼：中共强摘器官 周永康是重要人物
n4230673,【传奇时代】欧洲的抉择
n4277514,《九评》十周年研讨会：5大中共活摘器官的事实
n4284815,报告：大陆器官移植来源?黄洁夫谎言连篇
n4323498,台立委医界炮轰中共活摘 黄洁夫输出罪恶
n4324730,台卫福部：陆器官输台不可能 立委促器捐禁移植旅游
n4491970,《你为什么要这么做？》调查活摘律师出书述心路
n7447501,揭开大陆人体器官等待时间超短的黑幕
n7463526,台湾癌患两天获肝源 2015中国器官移植疯狂
n7607470,VOA：美国会法案指中共可能摘取法轮功人士器官
n7928182,专访葛特曼：活摘器官调查中那些人与事(2)
n7954688,六类证据揭示中国有庞大的活人器官库
n7966437,4个政法委高官录音证实中共活摘人体器官
n7987605,欧洲议会前证人讲述因家族病史而逃脱厄运
n7985854,12国法轮功学员吁欧议会调查中共活摘器官
n8007879,英国医学期刊：《中国可怕的秘密移植》
n8009783,美国会议员：国际法庭应调查中共活摘罪行
n8022647,外媒聚焦中国器官移植供体来源问题
n8026568,最新报告：中共强摘器官数量惊人
n8030186,李祥春国会作证：中共为器官移植按需杀人
n8032342,美国国会听证聚焦“中共活摘器官”
n8026353,报告：巨额利润下的国家杀人机器
n8041618,外媒关注中共秘密摘取成千上万政治犯器官
n8042519,CTV：中共杀戮囚犯 强摘器官
n8038974,美媒：中共每年强摘数万名政治犯器官
n8042728,渥太华公民报评论：中共活摘法轮功学员器官
n8045559,外媒密集报导中共秘密大量强摘器官
n8046198,美联社：决议案通过 要求停摘良心犯器官
n8050176,独立调查员欧洲议会提交中共活摘最新报告
n8051060,宾州联邦众议员撰文呼吁制止中共活摘器官
n8049855,美议员：当立法禁止前往中国“器官旅游”
n8053644,VOA连线：英国议会举行中国器官移植听证会
n8057176,组图：消失了的大陆器官移植网站
n8054054,死刑犯为何撑不起中国器官移植的蘑菇云
n8061865,黄洁夫谎话难圆 美国会议员痛批
n8068303,关键评论网：中国的器官移植滥用恶化
n8068738,阿联酋《海湾时报》：中共强迫囚犯捐献器官
n8071496,中共“强摘器官”罪震惊英国上下两院议员
n8075865,《新欧洲》：中共被控强摘法轮功学员器官
n8076759,外媒： 中共依然强摘囚犯器官
n8076795,法国欧洲议会会场外 各界聚焦中共活摘器官
n8083042,中国器官移植的迷思：一人接受多次移植手术
n8077808,【世事关心】国际揭活摘黑幕热潮 引中国变局？
n8088871,解放军第309医院每年做多少器官移植手术？
n8100453,李祥春：参与活摘器官的罪犯必将遭到清算
n8109067,追查国际：610警察亲口承认参与活摘器官
n8113108,调查：中国多地器官捐献困难重重
n8112563,追查国际：中国部分医院仍在大量强摘器官
n8116279,浙江大学附一院值班员：年肝移植“几千例”
n8149447,法国《费加罗报》大篇幅披露中共活摘器官
n8150040,铁证如山 追查国际视频揭中共活摘器官罪行
n8162276,瑞典每日新闻：中共大规模摘取良心犯器官
n8169303,参加香港器官移植大会的中国医生被控杀人
n8200702,追查国际：参加港器官移植会的53人涉活摘器官
n8223226,组图：10年全球行动 制止中共活摘器官（1）
n8223370,组图：世界政府机构曝光中共活摘器官罪恶
n8226498,美议员质疑国际移植专家跟中共存利益关系
n8284050,涉核心机密 7中共政治局委员被电话调查实录
n8284186,3名中共军方高层回应活摘器官电话调查实录
n8322371,加前官员与韩大学生探讨如何制止中共活摘
n8373643,美国会新报告关注中共大量强摘人体器官
n8457926,加国会听证：中共大规模活摘器官新证曝光
n8465739,大卫‧麦塔斯：按需杀人案例 无不让人震惊
n8465783,成批韩国人赴天津移植器官 黑幕重重
n8541140,意大利通过法律严厉制裁非法器官移植
n8552397,日本国会议员：面对中共活摘 日本不能沉默
n8828153,专家讲座：中共活摘器官-国家犯罪罪证
n8859024,著名智库：中共大规模强摘法轮功学员器官
n9003010,加拿大议员再推打击强摘器官法案
n9477890,《医疗群体灭绝》揭露绝无仅有的罪恶
n9831523,美国公共卫生年会 中共强摘器官引关注
n9850223,人体器官转运“绿色通道”在掩盖什么？
n10266487,继众院后 乔州参院通过决议谴责中共强摘器官
n10318181,著名人权律师常青藤宾大揭中共活摘暴行
n10442407,麦塔斯揭中共经营器官黑市及活摘暴行
n10897744,活摘器官新证 追查国际公布17个录音调查
n10899563,“人民法庭”中共活摘器官听证会伦敦开庭
n10905079,人民法庭临时判决:确认中共大规模活摘器官
n10906471,加拿大国会打击强摘器官法案通过第二轮辩论
n11002211,【视频】医道古今殊 手术刀如何变成屠刀
n11018479,【视频】中共政府摇钱树 最肮脏秘密大公开
n11086799,觅真：追查国际公布新证据  活摘器官仍在继续
n11218301,追查国际：中共活摘器官犯罪还在继续
n11223218,美发布宗教自由报告 中共连续20年被点名
n11279521,西方专家揭中共强摘器官罪行：取器官杀人
n11287804,明州立法委员发函医学协会 关注中共强摘器官
n11308375,【视频】杀戮与胁迫——中共政权如何推卸所有屠杀罪行
n11330691,英法庭： 制止中共活摘器官 全世界有责任
n11331593,中国器官移植医院地图揭秘“活人农场”
n11331578,人民法庭判中共罪成 活摘器官成新闻焦点
n11335935,BBC访活摘器官医生：被洗脑后无罪恶感
n11334897,美媒：人民法庭裁定中共仍在掠夺器官
n11339490,美发布宗教自由报告 关注中共迫害法轮功
n11345957,预告：BBC明日播出中共活摘器官调查报导
n11347973,中共活摘器官 麦塔斯：将罪犯绳之以法
n11350529,麦塔斯：中共活摘器官是“慢性群体灭绝”
n11462073,中共强摘器官 美委员会副主席吁美官方调查
n11532803,国家性“器官掠夺”研讨会在赫尔辛基举行
n11538883,欧洲移植大会 中共掠夺器官再成焦点
n11539095,欧洲器官移植大会 中共活摘器官引专家热议
n11545564,法国修订“生物伦理法”抵制中共器官贩卖
n11546426,中共强摘器官证据呈递联合国 媒体聚焦
n11574020,荷兰媒体揭露中共活摘器官罪行
n11657738,数学公式的骗局 中共伪造人体器官捐献数字
n11665366,研究报告：中共系统伪造器官捐献数据
n11669316,福布斯：掩盖活摘器官 中共伪造器官捐赠数据
n11708887,日韩台专家联手 促日本国会修法防移植旅游
n11712046,日韩台携手曝光中共活摘 推修法阻移植旅游
n11838359,追查国际报告：中共解放军西京医院活摘器官
n11917733,2019年追查国际对中共活摘人体器官调查
n11945516,中共肺炎患者接连双肺移植 专家:令人担忧
n11957882,李文亮一女同事病逝 其夫涉嫌活摘器官
n12070397,疫情下全球追责 中共还面临另一大清算
n12150824,疫情重灾区武汉和苏家屯 有一惊人相似点
n12181488,中共强摘人体器官 美国务院收录三大调查
n12273415,追查国际调查：疫情下中共未停活摘器官
n12348837,追查国际调查中共空军西京医院活摘器官录像
n12414284,多少大陆医院涉嫌活摘人体器官（1）
n12437047,法65议员连署法律提案 抵制中共活摘罪行
n12514711,麦塔斯：应对中共 国际移植协会需改七原则
n12580740,英御用律师：判决中共活摘器官罪是准确的
n12630561,美议员提制止中共强摘器官法案 专家指意义大
n12655589,多少大陆医院涉嫌活摘人体器官（2）
n12671234,多少中共高官泄漏中共活摘人体器官（1）
n12682004,2020美国会三大动作 制止中共活摘器官
n12664434,多少大陆医院涉嫌活摘人体器官（4）
n12768383,多少大陆医院涉嫌活摘人体器官（5）
n12798692,封存五年的调查录音：军医揭军队活摘器官
n12894547,器官协调员曝145万移植费的利益分配（中）
n12944519,美国务院详录中共强摘法轮功器官报告
n13013820,活摘器官你真了解？来龙去脉图解一次看懂
n13023877,联合国12专家控大陆少数族群遭强摘器官
n13024313,中共强摘器官 联合国十二专家“极震惊”
n13029839,论坛：加国会通过法案终止活摘器官迫在眉睫
n13033450,反强摘器官法案进入加拿大国会二读
n13082457,破冰之战 揭开中共活摘器官罪的台前幕后
