n1250658,中国人的器官随要随得？
n1533992,为保奥运 中共借死刑犯转移活摘指控
n1534861,为卖一肾处决多囚 中共盗卖器官新证据
n1546751,比利时媒体报导针对中共器官贩卖的调查
n1546753,比利时报纸《Gazet van Antwerpen》报导中共活摘器官
n1551786,再曝东方医院人工心脏干细胞移植黑幕
n1558282,新加坡海峡时报：新加坡人以四万元买中国的肾脏
n1559633,深圳医院黑心手术 为夫献肝夫亡妻丢肾
n1574406,调查：到中国移植器官 染上肝炎者多
n1589477,毛群安受访BBC 回避活摘器官关键证据
n1593302,赴中移植肾肝 换回爱滋败血
n1595203,深圳地区移植器官来源异常
n1655990,中共出台移植条例 自曝活摘青少年器官
n1701643,吉林男子：我姐夫移植了法轮功学员的肝
n1706401,联合国报告公布中共活体摘除法轮功学员器官
n1712665,中共活摘器官 悉尼市长吁外长采取行动
n1725426,投书：活体摘除器官的又一例证
n1735267,纽约州议会举办研讨会 聚焦中共活摘器官
n1738112,澳法轮功呼吁将中共盗卖器官纳入APEC议程
n1781182,高峰：活摘法轮功学员器官再添新证
n1784129,环球邮报: 中国摘取器官牟利的致命计划
n1794808,路透社:发展中国家人体器官非法买卖
n1794820,以色列逮捕中国人体器官中介
n1813618,中共官员透露中共活摘器官移植内幕
n1814143,世卫确认全球五大器官走私热点
n1837927,中国器官交易与迫害法轮功黑幕
n1858487,中国医生签署不摘犯人器官协议
n1866043,外电：奥运促北京慌忙应对非法器官指控
n1871351,日男子中国买卖人体器官被捕
n1877528,中国医师违法在台湾揽客换肝
n1883531,中国医师赴台中介器官移植
n1883741,天津医师来台揽客 中国移植现况露底
n1895692,武警广东总院：器官供体分配系统仍运作
n1904419,德检察院调查非法器官交易
n1904776,外电：印度和中国包藏祸心的器官买卖
n1964198,外电：澳洲人海外移植器官大多来自中国
n2013449,女子车祸送院 死后眼角膜不翼而飞
n2013820,福州一患者医院去世　眼角膜不翼而飞
n2069767,张宇洁：卫生部副部长与中共互相利用
n2078803,济南小伙捐角膜无门 器官来自捐献有诈
n2182433,回应联合国要求交代器官来源 中共撒谎
n2460728,强摘器官焚尸灭迹 国际曝光川当局恐惧
n2471134,华裔妇女赴大陆换肾 被骗百万难讨说法
n2477996,中共死刑车 强摘死囚器官变卖
n2479217,美器官移植伦理会 著名专家吁停止培训中国医生
n2479592,唐恩：谈中共死刑车与活摘器官
n2491203,玉清心：清明时节你该为谁哭泣？
n2494445,玉清心：警惕中共扩大内需的器官移植生意
n2511800,移植大国半遮半露的实像
n2638156,德人权组织  将器官贩卖负责人送上法庭
n2639204,王华：请不要假装不知道
n2644150,中国发生医生涉案的“杀人盗器官”案
n2659349,器官何来 首度有医生因杀人摘器官被拘
n2717871,甄钧：解放军总后勤部是活摘器官核心机构
n2747981,法国国会内《血腥的器官摘取》介绍会
n2748626,麦塔斯：澳洲民众在逐渐了解事实真相
n2752136,欧阳非等：“死刑犯”撑不起中国器官移植市场上的蘑菇云(一)
n2752942,欧阳非等：“死刑犯”撑不起中国器官移植市场上的蘑菇云(二)
n2753824,热点互动直播预告：目击者披露活摘法轮功学员心脏惨案
n2754897,欧阳非等：“死刑犯”撑不起中国器官移植市场上的蘑菇云(三)
n2756001,欧阳非等：“死刑犯”撑不起中国器官移植市场上的蘑菇云(四)
n2757437,欧阳非等：“死刑犯”撑不起中国器官移植市场上的蘑菇云(五)
n2757808,目击者披露活摘法轮功学员心脏惨案(2)
n2758791,目击者披露活摘法轮功学员心脏惨案(3)
n2762782,唐彦：台湾要顾里子也要顾面子
n2778354,玉清心：从傅彪的两次肝移植说起
n2859334,解密谷歌被迫执行屏蔽词档案：活摘器官
n2881569,【新纪元周刊】揭开活摘器官黑幕
n2889956,华盛顿时报：中国庞大的人体器官交易
n2899245,大陆媒体曝光器官黑市 学者称勿掩中共罪恶
n2919016,老久：从工程院院士的跳楼看中共活摘器官的黑幕
n2928903,麦塔斯四年调查  中共骚扰不断
n3122194,拒绝到中国去的器官移植专家
n3168093,山西男子反悔卖肾 遭禁锢强迫做手术
n3232398,生取活人肾 媒体揭秘大陆器官买卖猖獗
n3436589,参与大陆器官秘密交易 3名韩国人被捕
n3440424,大卫‧麦塔斯：中国器官移植供体的来源（一）
n3640894,【刘晓】：党媒报导德国器官移植丑闻反揭中共罪恶
n3641410,【热点互动】中共活摘器官 惊爆美国政坛(2)
n3643941,横河：专家如何看中国的器官移植
n3653543,薄谷开来杀人案背后隐藏江泽民周永康
n3689263,中国媒体证实官方与黑道中介组庞大活体器官贩卖网络
n3691146,大纪元总编辑郭君在联合国人权大会指控中共活摘器官
n3691529,瑞士国会议员致函联合国：严惩活摘器官首恶
n3695364,【夏小强】：为何微博解禁王立军交美领馆密件内容？
n3698589,106位美国会议员联名要求国务院公布中共活摘器官罪行
n3699424,丹麦议员就中共活摘罪行 提请政府关注
n3700899,秋尚：10万补贴藏阴谋
n3702693,国际关注引恐慌 卫生部新规证实器官来源不明
n3703889,美国国会中国人权报告:活摘法轮功学员器官指控不断
n3704578,这些大陆民众为何愿意签名营救大法弟子？
n3705271,探秘大连金石滩“人体标本”展览与薄熙来
n3705875,法轮功致函奥巴马罗姆尼 吁公开关注中共活摘器官
n3707619,【内幕】薄熙来案中的江泽民（上）
n3712918,为器官杀人：中国的秘密器官移植生意
n3714793,美国市长：这些器官是哪来的？
n3721387,国际关注活摘器官 中共恐慌 逐步停用死刑犯作器官移植
n3725484,违法器官交易 术后成本台湾全民健保买单
n3725714,麦高：十八大开幕日 媒体惊现“活摘器官”信息
n3727058,【陈思敏】：网络聚焦18大的另一个热点
n3691204,上海女经理柏根娣：我差点被活摘器官
n3734642,中共活体摘取法轮功学员器官报告（十五）
n3740673,追查国际：关于塑化人体标本尸体来源调查报告
n3741520,台立院决议 境外器官移植需术后登录
n3742325,威廉王子到访剑桥 三次接制止活摘器官呼吁信
n3742514,非法器官移植猖獗 中共借黑市掩盖政府参与罪行
n3743155,独立调查员：澳洲政府应带头制止“器官移植旅行”
n3748091,2500名台湾医师反活摘 连署书送联合国人权高专
n3755884,德国医疗数据统计专家四年调研证活摘
n3750759,美中关系急待重塑 副总统拜登3接涉薄熙来案指控
n3775790,访台大陆医师疑涉活摘 立委要求说清器官来源
n3785792,巨幅制止中共活摘广告震撼加拿大能源之都
n3789474,欧议会举办中共信仰迫害听证会 直指活摘器官
n3790372,欧议员和学者谈中共对信仰团体的残酷迫害
n3801567,重庆医大一院涉嫌活摘7名法轮功学员器官
n3812312,澳洲绿党议员推重刑惩罚非法器官贸易
n3815477,中共卫生部副部长黄洁夫器官大会上落泪的真实原因
n3815576,欧洲议会副主席访美:联合美国和全球清算中共人权恶棍
n3825309,专访悉尼大学Singh教授 国家掠夺器官与澳洲立法
n3826499,专访大卫 ‧乔高：尊重人民意愿 立即停止迫害
n3827039,澳洲参议员：“真、善、忍”国际美展很美
n3829465,德国亲共媒体突然刊发中共活摘器官买卖事件
n3833972,杨景端：法轮功学员是活摘罪恶受害者
n3835965,德媒爆中共“依订单杀人”取器官 黑幕震惊世界
n3836751,世界器官移植之都逾万人签名 阻中共活摘
n3829889,掩藏在伪造“中国死刑犯器官证书”背后的黑幕
n3847407,马三家酷刑黑幕发酵 304军医院及法院器官案曝光
n3864064,媒体的道义　民众的良知
n3920374,法国国会举行新书《国家器官》发布会
n3927254,北京肾移植者：器官来自年轻法轮功学员
n3945594,审薄前武汉爆出地下卖肾黑车间 活摘器官再成焦点
n3947264,中共活摘器官罪曝光 国际大事记 （二）
n3951589,薄案审结后幼童遭挖眼活摘案曝光 眼角膜炒到30万
n3953994,【投书】“山西大老板”盗卖器官血腥链条
n3958663,组图：旧金山民众声援281号议案
n3990663,暴徒五次袭击伦敦中国城的活摘征签点
n4010178,DAFOH在威尔士国民议会举办活摘器官说明会
n4022811,悉尼国际器官移植会 专家谴责中共强取或活摘器官
n4112847,中共前卫生副部长再泄“活摘器官”重大信息
n4117289,大赦国际：全球死刑激增 中国仍是执行死刑大国
n4206955,欧洲理事会颁公约反对人体器官贩运
n4208797,胡锦涛同学遗孀指证中共前副部长黄洁夫惊人罪行
n4217414,中共连续网攻大纪元 阻华人了解活摘真相
n4223606,中共自曝器官黑市 难掩大规模活摘黑幕
n4234963,王立军专利上热词榜 杀人专利添活摘新证据
n4237977,江泽民入医院 百度开放敏感词“江泽民 摘器官”
n4247094,海伍德遭薄谷开来毒杀  敏感期其母再索赔
n4272052,四中全会前  陆媒介绍江泽民最恐惧的反人类罪
n4285231,医生直接杀人 杭州器官大会27医生被追查
n4290800,中共军医院器官移植“奇迹”引国际关注
n4304920,281号决议案吁制止中共活摘  南加民众征签
n4333732,否认到停用死囚器官 中共不断改口后的杀人秘密
n4442363,澳洲墨尔本集会揭中共活摘罪恶 民众震惊
n4448892,浙江捐器官宣誓作秀 中共不断改口器官来源
n4452039,德国多家媒体报导中国的死囚器官交易
n4459399,张德江被追问周永康是否供出江泽民
n4460115,江泽民活摘器官罪在丹麦大选前传播
n4452051,追查国际关于中共活摘法轮功学员器官证据专辑
n4461791,美国会发起343号决议案 制止中共活摘器官
n4470744,澳洲电台专访麦塔斯 揭中共活摘器官罪恶
n4486565,媒体报导 澳纽省小镇居民签名呼吁制止活摘
n4500956,中共胁阻澳洲官员参加器官交易论坛 议员驳斥
n4501792,澳纽省上议员：议员必须在议会讨论人权问题
n4540333,中领馆试图遮挡敏感信息 习近平访美天天见
n4546026,三军医大学政委换人 军队清洗或触江核心罪
n4546805,美国会报告：中共继续迫害法轮功等团体
n4570714,英国医学期刊：中共继续强摘死刑犯器官
n4574969,美国会播放《活摘》揭中共器官移植暴行
n4579773,谷开来离奇谋杀案 牵出惊天黑幕
n4586160,医生爆料：台湾癌患快速获大陆21岁活人全肝
n4585678,周永康和中国器官移植量暴涨之谜
n4586533,中共前卫生部副部长因器官问题被“摆上台”
n4581810,中共军事化活摘人体器官黑幕
n4616305,玉清心：冯小刚出演《老炮儿》怀念傅彪
n7466824,【网文】目击沈阳看守所一死囚被活摘前
n7475354,亚太眼科年会 国际医疗权威关注中共活摘器官
n7549652,“追查国际”：八百大陆医院涉嫌活摘器官
n7556248,中共器官移植黑幕在TEDx大会上曝光
n7564967,警察踢伤腰 让她逃过被活摘器官一劫
n7950836,山东矿业高管遭重刑 警察威胁活摘其妻器官
n8007879,英国医学期刊：《中国可怕的秘密移植》
n8021833,中共强摘人体器官最新报告将在美国华府发布
n8026568,最新报告：中共强摘器官数量惊人
n8030186,李祥春国会作证：中共为器官移植按需杀人
n8030824,南京警察强制采血 疑涉活体器官库
n8032342,美国国会听证聚焦“中共活摘器官”
n8042519,CTV：中共杀戮囚犯 强摘器官
n8042467,证人指证 法轮功学员徐真遭活摘器官死亡
n8045559,外媒密集报导中共秘密大量强摘器官
n8046198,美联社：决议案通过 要求停摘良心犯器官
n8050176,独立调查员欧洲议会提交中共活摘最新报告
n8049855,美议员：当立法禁止前往中国“器官旅游”
n8053644,VOA连线：英国议会举行中国器官移植听证会
n8056920,《外交家》：什么诠释反人类罪？活摘人器官
n8057168,英国《独立报》：中共仍在强摘良心犯器官
n8057176,组图：消失了的大陆器官移植网站
n8054054,死刑犯为何撑不起中国器官移植的蘑菇云
n8068303,关键评论网：中国的器官移植滥用恶化
n8068738,阿联酋《海湾时报》：中共强迫囚犯捐献器官
n8075865,《新欧洲》：中共被控强摘法轮功学员器官
n8076384,原唐山市工人医院护士曝光活摘器官线索
n8072936,收红色资金？国际器官移植协会前主席被问责
n8076759,外媒： 中共依然强摘囚犯器官
n8083042,中国器官移植的迷思：一人接受多次移植手术
n8088871,解放军第309医院每年做多少器官移植手术？
n8133146,陆媒曝大陆四线城市医院一日十例肾移植
n8136020,马来西亚中文媒体大篇幅报道《活摘》
n8149409,奥地利最大报纸网络版曝光中共活摘器官暴行
n8149447,法国《费加罗报》大篇幅披露中共活摘器官
n8153463,一位站在美国国会山前的中国女士的心愿
n8154543,香港器官移植大会在即 国际社会担忧
n8159920,加媒：大街小巷都有中共活摘罪行被曝光
n8169303,参加香港器官移植大会的中国医生被控杀人
n8181725,网曝“肝衰竭”患者上海华山医院当天肝移植
n8192057,军队反腐“风暴眼” 总后勤军改下续被整肃
n8200756,赵存贵被山西监狱迫害致死 疑被活摘器官
n8200702,追查国际：参加港器官移植会的53人涉活摘器官
n8220188,涉违规 郑树森论文遭国际器官移植大会拒绝
n8223226,组图：10年全球行动 制止中共活摘器官（1）
n8223370,组图：世界政府机构曝光中共活摘器官罪恶
n8226266,生物伦理网站：对中共强摘器官的批评白热化
n8226498,美议员质疑国际移植专家跟中共存利益关系
n8229198,黄洁夫感受压力快闪 叶启发被问活摘暴怒
n8233830,英国逾万人反活摘签名 促首相发声声援
n8237191,亲历者曝天津东方器官移植中心“黑箱内幕”
n8284422,加拿大世界小姐：中共在按需活摘人体器官
n8291404,玉清心：大陆游客说一个邻居换过二个肝
n8292951,北京死刑复核研讨会上 教授捅破中共杀人机密
n8315455,澳洲新闻网：中共盗取人体器官的现实
n8318478,澳洲新闻集团：中共摘取人体器官的现实
n8324315,李克强赴联合国 纽约人关注法轮功反迫害
n8366076,瑞典《医生报》：产业化的大规模反人类罪
n8398398,丹麦《贝林报》专题报导中共活摘器官罪行
n8400111,新西兰汽车之旅揭露中共活摘器官罪行
n8405888,丹麦电台：中国器官移植供体到底从哪来？
n8409585,黄洁夫为何承认一武警医院涉非法器官移植？
n8497143,武警公布停止有偿服务 含375个医疗项目
n8555518,【专访】罗宇揭央视掩盖中共强摘器官罪
n8565782,是谁打开了“潘多拉的盒子”？
n8616245,天津驻军8成有偿服务叫停 含数百敏感项目
n8794315,国际专家谴责黄洁夫说谎欺骗世界
n8859024,著名智库：中共大规模强摘法轮功学员器官
n8892363,黄洁夫两会谈器官移植 专家指其漂白自己
n9021123,平和中的震撼：致我们心中的善
n9031367,维也纳市议会决议案反对中共非法器官交易
n9612326,国际器官捐献大会 法轮功揭中共活摘罪行
n9612816,中共干扰加州参议院第10号决议案 外界谴责
n9717616,辛子陵：周永康欲立功狱中揭江曾新罪证
n9850223,人体器官转运“绿色通道”在掩盖什么？
n9856357,“与恶魔的交易” 中共器官移植旅游怪圈
n10211874,芬兰《患者医学杂志》刊文关注活摘器官罪行
n10266487,继众院后 乔州参院通过决议谴责中共强摘器官
n10282721,亚利桑那州议会签署制止中共强摘器官备忘录
n10318181,著名人权律师常青藤宾大揭中共活摘暴行
n10410921,密苏里州参院全票通过决议 谴责中共强摘器官
n10442407,麦塔斯揭中共经营器官黑市及活摘暴行
n10572869,黄洁夫央视炒作死囚器官 泄中共更多黑幕
n11279521,西方专家揭中共强摘器官罪行：取器官杀人
n11280869,谴责中共活摘器官 美密苏里州通过决议案
n11335935,BBC访活摘器官医生：被洗脑后无罪恶感
n11346364,英独立法庭证实中共活摘器官 韩媒争相报导
n11367315,【专访】英人权专家吁各国立法 清算中共
n11538883,欧洲移植大会 中共掠夺器官再成焦点
n11545564,法国修订“生物伦理法”抵制中共器官贩卖
n11547913,纽约论坛 活摘器官受害家属曝中共可怕行径
n11574020,荷兰媒体揭露中共活摘器官罪行
n11594995,河北命案 死者生前遭看守所频繁抽血
n11597772,法国解放报：法国应该承诺反对强摘器官
n11669316,福布斯：掩盖活摘器官 中共伪造器官捐赠数据
n12150824,疫情重灾区武汉和苏家屯 有一惊人相似点
n12249199,中共三桶油华尔街圈钱 背后黑幕鲜为人知
n12326366,10天4颗心脏 中共器官按需供给引忧
n12338586,37沙特人天津移植器官 牵出内幕知多少
n12350295,中共610官员坐镇 给上海法轮功学员采血
n12352363,中共为何强行火化他们的遗体（10）
n12371027,上海警察给法轮功学员采血“是国家规定”
n12443204,美报告：以行动应对中共侵犯人权一切行径
n12448233,美国会报告 要求对中共强摘器官采取行动
n12627668,美国会参众议员发起制止中共强摘器官法案
n12652921,美欧专家：让欧洲结束对中共的幻想
n12678074,中共最高法院院长周强涉多少人命案？
n12691724,华人实名揭露活摘器官 追查国际：中共是魔鬼
n12721290,美弗州县级决议案 谴责中共强摘人体器官
n12785954,一部捷克漫画作品将聚焦中共强摘器官
n12785715,美弗州劳登县通过决议案 声援法轮功
n12803746,移植名家臧运金跳楼亡 其“青岛模式”受关注
n12805218,美弗州第6县通过决议案 抵制中共强摘器官
n12863175,武汉协和医院一天四台心脏移植 供体引关注
n12878830,器官捐献协调员曝“自愿捐献”黑幕（上）
n12898622,器官协调员亲见 摘器官时供体在抽搐（下）
n12908242,美国总统之乡通过决议案 抵制中共强摘器官
n12932034,西方媒体为何鲜有报导中共强摘器官？
n12969218,沪警抢牙刷验DNA 多位法轮功学员遭采血
n13013820,活摘器官你真了解？来龙去脉图解一次看懂
n13024313,中共强摘器官 联合国十二专家“极震惊”
n13029839,论坛：加国会通过法案终止活摘器官迫在眉睫
n13052835,流亡医生：党要你去死 你就得去死
n13056521,美国威廉王县通过决议 抵制中共强摘器官
n13082457,破冰之战 揭开中共活摘器官罪的台前幕后
n13088279,国际宗教峰会专场：中共迫害法轮功加剧
n13119367,美国格林县通过决议 强烈谴责中共活摘器官
n13203445,意前议员揭中共活摘器官 赞法轮功拯救世界
n13245052,反活摘器官峰会吁各国立法 惩治中共暴行
n13253550,世界反活摘峰会 欧美亚医界谴责中共罪行
n13259127,证人指证 重庆当局重金阻挠活摘器官疑案调查
n13259730,“反活摘之世界宣言”吁全人类制止中共暴行
n13320919,美弗州爱塞克斯县决议案 谴责中共活摘器官
n13401416,前大陆外科医生揭器官移植黑幕
n13414467,林昶佐与NBA球星坎特对谈 推在台办人权峰会
n13430251,美英加议员拟立法 制裁打击中共活摘器官
n13656361,联合国场边会议将讨论制止中共活摘器官
n13719232,425周年之际 全球累积392万人举报江泽民
