n11136687,曾遭打毒针 成都法轮功学员何友华被迫害离世
n11272696,河南法轮功学员王继成被迫害离世
n11276235,冒死拍摄中共迫害罪行 于溟：挽救更多生命
n11277703,九分钟与十八年――王可非冤案未雪
n11278026,福克斯：卧底视频曝光中共残酷迫害法轮功
n11277760,庐山市两任政法委书记 一人获刑一人遭雷击
n11279454,山东法轮功学员吴宝玉被迫害离世
n11279521,西方专家揭中共强摘器官罪行：取器官杀人
n11280869,谴责中共活摘器官 美密苏里州通过决议案
n11280724,迫害中两位母亲离世 三个家庭支离破碎
n11270535,遭迫害 大连法轮功学员黄桂英含冤离世
n11285375,亲历者揭中共劳教所罪恶内幕
n11287350,河南法轮功学员陈少民遭迫害离世
n11287804,明州立法委员发函医学协会 关注中共强摘器官
n11285549,胜利油田前职工石强冤死的凄惨故事
n11290608,在中国“被自杀”的法轮功学员
n11291821,救死扶伤50载 法轮功学员王立山被迫害离世
n11285053,厄运缠身的广东政法委“610”人员（2）
n11295532,中领馆阻挠失败《黑名单》成功首映获好评
n11290020,“北京万例调查”中的医学界法轮功学员（上）
n11295293,法轮功学员任东生被迫害离世 妻儿仍遭骚扰
n11297122,外媒：中国陆军医院前实习生亲历活摘器官
n11297906,恶运缠身的黑龙江依兰公检法人员
n11299632,黑龙江绥化 七位法轮功学员被非法判刑
n11300417,做好人遭构陷 法轮功学员李振洋被冤判四年
n11302471,湖北省公安厅前副厅长郭唐寅被审查
n11302117,遭贵州都匀监狱迫害 法轮功学员郑居成离世
n11224498,大陆法轮功辅导站义务负责人遭迫害综述（1）
n11304508,落马的榆树市委前书记冯善国 涉命案
n11302869,长期受迫害 北京法轮功学员李成山离世
n11292102,“北京万例调查”中的医学界法轮功学员（下）
n11308899,入狱14天 法轮功学员李艳秋被辽宁女监害死
n11304910,大陆法轮功辅导站辅导员遭迫害致死案例（2）
n11309110,胜利油田数位技术工程及管理员工遭绑架
n11310954,独家调查：劳教所秘拍视频揭中共奴工黑幕
n11310139,太原八名老年法轮功学员遭冤判入狱
n11312475,辽宁本溪公安图谋6.28前绑架法轮功学员
n11307922,【绘本】我想逃离这个国家（一）
n11313370,人权律师揭610操控司法 枉判法轮功学员
n11307013,大陆法轮功辅导站义务负责人遭迫害综述(3)
n11311023,【绘本】我想逃离这个国家（二）
n11314881,退休数年 广东中级法院前院长刘曙光被审查
n11315892,河北一位电器维修师无悔的信念
n11311024,【绘本】我想逃离这个国家（三）
n11316953,高分贝噪音及药物迫害 法轮功学员罗春荣离世
n11311025,【绘本】我想逃离这个国家（四）
n11320129,公主岭监狱警察叫嚣：我是无赖我是流氓
n11310284,遭受中共蹂躏的中国文艺界精英们（1）
n11312610,遭受中共蹂躏的中国文艺界精英们（2）
n11324111,5月份 至少66位法轮功学员遭冤判
n11322302,曝光武汉大学哲学教授 诬蔑诽谤法轮功罪证
n11317332,惧怕真相 中共迫害为法轮功学员辩护的律师
n11325855,曾在四地任公安局长 黑龙江绥化市赵平落马
n11325722,妈妈遭囚禁 家人带宝宝往返千里探视被拒
n11330407,儿在看守所仅1个月命危 八旬父母要人遭驱赶
n11332768,5月份 至少341名法轮功学员遭绑架
n11333361,湖北法轮功学员熊淡月 黎凤保被迫害离世
n11333934,被诬判8年陷狱 女军医拒绝认罪减刑
n11331328,美国严审签证 律师：首先应制裁代表人物
n11320330,河北唐山曹妃甸区610主任吴晓玲被举报
n11335321,法轮功学员孔红云被保定看守所迫害致死
n11315253,遭受中共蹂躏的中国文艺界精英们 （3）
n11338558,遭绑架六个月 北京优秀教师陈彦面临非法庭审
n11338225,广东恩平市政法委吴奕贤被举报
n11340432,美国务院年度报告 批中共严重打压宗教自由
n11337777,辽宁法轮功学员谈银珍离世 遗书曝真相
n11343540,耿冬遭天津监狱酷刑 岳母纽约中领馆抗议
n11343695,一场持续20年的人权灾难 始于暴君的嫉恨
n11344984,20年屡遭迫害 宁夏法轮功学员穆志宏离世
n11347074,沈阳技术精英 法轮功学员于春生被非法抓捕
n11348443,反酷刑日 受害者纽约中领馆前抗议中共迫害
n11341012,20年迫害 中共对法轮功学员的血腥摧残
n11350126,抚顺81岁法轮功学员洪淑云遭冤判2年
n11352509,北京丰台区法院法官胡春生 诬判法轮功学员
n11353103,辽宁女监 逼人写“转化书”的非人手段
n11324234,血与泪二十载 被中共蹂躏的各界精英人士
n11235550,云南公安系统任职33年 局长李彪被审查
n11352110,84岁法轮功学员郑德财将结束冤狱 身体堪忧
n11352168,前大陆公安：中共镇压法轮功早有预谋
n11353958,两月内 公检法司至少30名官员恶运缠身
n11355274,法轮功学员遭绑架 高秀清陪家属要人被劫持
n11355781,非法庭审中 舒兰法轮功学员申述信仰无罪
n11355554,湖北咸宁戒毒所前所长金世勇获刑
n11357149,天津工程师黄礼乔遭冤狱和酷刑 死里逃生
n11357722,河北省深泽县八名法轮功学员同日遭绑架
n11359702,精通四国语的法轮功学员韩旭 面临非法批捕
n11358097,落马的湖北省司法厅官程颖 曾大肆办洗脑班
n11361597,上半年 至少335名法轮功学员遭冤判
n11354721,纽约中领馆外 他们为营救胜利油田亲友呼吁
n11362156,辽宁朝阳市近40名女法轮功学员 遭冤狱折磨
n11364135,被抓不到两月 何立芳遭看守所迫害致死
n11366551,法轮功学员张援援被劫入法院后 蹊跷离世
n11364733,遭迫害致死法轮功学员的家属参与诉江案例
n11367670,黑龙江鹤岗 五位法轮功学员遭非法起诉
n11367993,中共残酷的迫害手段 他们被毒针折磨致死
n11366686,中共军队公检法司人员控告江泽民案例
n11368473,北京通州区法院法官蒋为杰被举报
n11369063,踏上自由土地 独立日游行 望迫害结束
n11368594,二度死里逃生 前大陆白领熬过酷刑迎来自由
n11370721,爱德华‧斯考特: 对迫害善良的一个政治上的回应
n11368250,夏一阳：精神和肉体灭绝的手段—转化洗脑
n11371730,75岁老太太带国务院文件上访 遭构陷
n11371857,中共政府机构教育系统人员控告江泽民案例
n11372569,七年半冤狱 佳木斯石化厂孙丽彬含冤离世
n11354195,二十年前的7·20 北京青年郭为民彻夜未眠
n11372538,走出炼狱 加华裔夫妻一段亲身经历
n11374158,上海交通大学 19岁学生钟一鸣 被强制失踪
n11373754,优秀教师吴月霞七遭绑架 弟弟被迫害致死
n11374102,高学历人才企业家控告江泽民案例
n11375791,妈妈姥爷遭绑架 残疾儿来回奔波 身心受损
n11376160,劳教所药物迫害 美术教师黄浅精神失常10年
n11375488,冤狱11年半 前大陆律师堂堂正正反迫害  
n11378421,明慧20周年报告：法轮功福益社会
n11380497,上半年 至少45名法轮功学员被迫害致死
n11381978,退休教师的遭遇： 儿被迫害死 媳精神失常
n11381933,十年冤狱志不移——吉林老妇忆述生死边缘
n11381191,明慧20周年报告：非法抓捕和监禁
n11384389,风口浪尖上的花样年华 一段挥之不去的记忆
n11386163,抚顺法轮功学员遭绑架 86岁老母亲状告警察
n11385769,法轮功学员李长芳遭公检法司迫害 离奇死亡
n11386551,上半年辽宁44位法轮功学员遭中共诬判　
n11388624,河南省司法厅副厅长黄真伟被调查
n11388743,日本法轮功学员田晓红回中国探亲 遭非法抓捕
n11390077,广东珠海市多名法轮功学员被绑架抄家
n11390541,三年义务修路 邻里公认的好人 遭警察绑架
n11390808,辽宁多地 至少40位法轮功学员及家属遭绑架
n11391140,法轮功学员邓传久遭诬判 律师指中共反天理
n11387954,明慧20周年报告：酷刑折磨
n11392917,4名法轮功学员遭绑架后 3人被冤判1人离世
n11393416,一宗石头案与一村支书的诬陷
n11393228,儿陷冤狱 广州市高级工程师曾加庚再遭绑架
n11394292,戈壁东：残酷迫害法轮功 中共本性反人类
n11397432,华府烛光夜悼 长春3·05插播英烈正信永恒
n11395997,贵州法轮功学员王连军被中共迫害致死
n11399469,妻陷冤狱 86岁法轮功学员唐维骥忧郁离世
n11402174,被调查的退休公安局长王文庆 涉百人冤案
n11384505,欧洲名校毕业的一代骄子 难忘童年之痛
n11401794,法轮功学员丁国琴被成都龙泉女监迫害致死
n11402080,7月上旬 四川70多位法轮功学员遭绑架
n11404879,吉林市23名法轮功学员 同日遭绑架抄家
n11402627,河北涞水一法轮功学员亲属遭暴力绑架
n11393554,明慧20周年报告：监狱里的残暴
n11406694,美国会吁中共释放法轮功学员 邓翠苹女儿感谢
n11406165,黑龙江肇东市4名法轮功学员被非法关押
n11405058,生死劫后 中共酷刑幸存者吁中国人了解真相
n11396064,明慧20周年报告：精神病院药物迫害和性侵犯
n11406278,法轮功学员苏菊珍和邹桂荣在马三家遭的迫害
n11399289,明慧20周年报告：迫害致死致残致精神失常
n11411360,《新苏黎世报》揭露中共20年来迫害法轮功
n11402322,明慧20周年报告：血腥的活摘器官
n11413134,湖北荆门30名公安人员的恶运
n11414405,重庆市20多名法轮功学员遭绑架
n11410916,法轮功受邀参加华沙文化节 获欢迎和支持
n11416678,吉林市35名法轮功学员遭绑架抄家
n11418711,河北法轮功学员孔红云死因 涉不可告人秘密
n11408861,明慧20周年报告：对社会主流民众的迫害
n11408393,落马的吉林省检察院检察长杨克勤
n11418906,“还我母亲”法轮功学员孟红女儿的悲痛
n11421616,天津常委赵飞上美国务院审查迫害者名单
n11421005,被迫害致瘫多年 河北法轮功学员常力中离世
n11424136,前江苏连云港市公安局610主任孙晓兵落马
n11421849,中共国保为何扩张成公安系统最庞大部门？
n11414524,法轮功学员杨丽华遭冤判 残疾丈夫无人照顾
n11426060,山东泰安市岱岳区政法委书记王兆富被审查
n11426667,纽约中领馆前的“被雇用者”
n11427114,大陆民众举报 中共宗教事务原局长叶小文
n11428508,四川逾百法轮功学员遭绑架 80人仍被关押
n11425888,合肥法轮功学员章欣宏第3次被枉判
n11428302,参加对父母的非法庭审 盲女失声痛哭
n11430261,自由亚洲电台：并未消失的法轮功（1）
n11426405,吉林大安市副市长兼公安局长钱孔亮被举报
n11432106,75岁金丽燕陷冤狱命危 福建女子监狱不放人
n11432907,原公安报编辑 法轮功学员任文曼遭诬判4年
n11433943,法轮功学员遭枉判 律师：刑法三百条造奇冤
n11432902,川国保大队长田萍迫害法轮功 被指祸及家人
n11434512,美国审核签证新规 震慑迫害人权的中共官员
n11436499,怕被举报 黑龙江肇东610人员不敢报真名
n11437648,辽宁凌源前公安局长张志儒迫害法轮功罪行
n11439708,法轮功学员梁文德被成都龙泉女监迫害致死
n11440392,云南大学副教授陈新文博士被绑架 下落不明
n11421332,妻子被迫害致死 沈阳马江第三次遭绑架
n11416454,74岁冯继武陷冤狱3年 遭殴打喷辣椒水
n11432555,河南落马公安副局长李寅秋 涉50命案
n11442019,爱丁堡艺术节 民众声援法轮功反迫害
n11442740,黑龙江佳木斯又有十多名法轮功学员被绑架
n11442765,1598例法轮功学员失踪案的背后
n11446179,7月份 逾千名法轮功学员遭绑架骚扰
n11447764,宁夏落马司法厅厅长陈栋桥 不可推脱的罪责
n11448403,坚持信仰 辽宁优秀教师王宏柱遭冤判三年半
n11450803,4年前 山东一起13名法轮功学员遭绑架案
n11450964,北京法轮功学员王征 遭远程视频非法庭审
n11413403,明慧报告：中共对法轮功学员的经济迫害
n11452631,十年瘫痪获新生 法轮功学员唐志强被迫害离世
n11428692,辽宁锦州女子看守所 副所长石红的犯罪事实
n11455080,7月份 至少52名法轮功学员被非法判刑
n11434890,辽宁清原两书记  1人获刑1人病亡
n11448679,死于膀胱癌的广东汕尾前公安副局长罗方锦
n11440333,吉林榆树前公安局国保大队长张德清被举报
n11455604,遭绑架9天 法轮功学员杨胜军被迫害致死
n11456144,清华学子张连君的悲惨遭遇 瘫痪在床16年
n11455881,追随中共迫害法轮功的校长们灾祸连连
n11424001,八旬法轮功学员遭绑架 瘫痪老伴无人照料
n11459734,真相特刊-呼唤正义良知 (201908)
n11460973,吉林大安市法轮功学员张丽香 在迫害中离世
n11416743,明慧20周年报告：中共迫害延伸海外
n11461123,吉林榆树政法委书记金海 迫害法轮功的罪行
n11457998,原河北省邯郸劳教所恶人恶行
n11463243,四川法轮功学员遭受药物迫害实例
n11465469,四川法轮功学员罗万芳被中共迫害离世
n11463758,中共迷惑众人的“自杀”谎言
n11465624,14载冤狱酷刑 三级警督商锡平矢志不渝
n11457695,山西晋中监狱杨春生 残忍迫害法轮功学员
n11468696,湖南女子监狱的“高度戒备监区”
n11468359,香港“反送中”成中共造假新闻的“照妖镜”
n11461598,仅因携带一本书 昆明一普通市民陷冤狱
n11471629,好老师丁国晨遭绑架 学生哭问何时归
n11472554,被打毒针失智十几年 法轮功学员王树钦离世
n11473086,成都青羊法院李波 枉法重判法轮功学员
n11473715,不符起诉条件 深圳法轮功学员豆君重获自由
n11473741,广州公安局非法逮捕六位年近八旬老人
n11472810,云南第二女子监狱酷刑致多人伤残死亡（1）
n11476846,人人称赞的法轮功学员戴礼娟被迫害离世
n11473414,云南第二女子监狱 致人伤残死亡的酷刑（2）
n11479578,法轮功学员李彩芝陷冤狱 亲人9个月不得见
n11478407,云南第二女子监狱 致人伤残死亡的酷刑（3）
n11481420,荷兰阿姆斯特丹AT5电视台报导法轮功
n11480723,连环画：走过劫难（1）
n11481888,枉判11法轮功学员 北京法官孙国立遭举报
n11483056,重庆法轮功学员周涛长年遭迫害 含冤离世
n11483827,公安密件外泄 显示辽宁“610”未撤销
n11483187,1至7月 近80位教育界法轮功学员遭迫害
n11486599,坐“小凳子”—— 中共杀人不见血的酷刑
n11486190,上海610宣传教育处副处长蒋绮琼被举报
n11488542,留学生炼法轮功遭迫害 伦敦中领馆前呼吁
n11488884,EFOFG欧副主席：20年太久 停止迫害
n11488770,一家10人受迫害 英留学生中领馆前吁停止迫害
n11488663,寻获生命真谛 法国医院院长分享修炼感悟
n11489082,反迫害20周年 34国法轮功学员伦敦集会
n11487849,凄楚无助 一群苦难的中国孩子（1）
n11491214,河北医学专家李延春夫妇 遭非法判刑
n11491427,葛特曼：共同问责中共活摘器官的同谋犯
n11492088,连环画：走过劫难（2）
n11491954,被剥夺退休金17年 退休校长张全兴冤死
n11488447,河北女青年在北京遭劫持 父亲找女儿被扣留
n11492658,组图：34国法轮功学员大游行 吁停止迫害
n11494145,北京英特尔软件公司女员工刘东兴 遭非法判刑
n11494616,重庆法轮功学员遭非法抄家 采集血样
n11488590,2019年上半年 长春法轮功学员遭迫害综述
n11494405,受7年冤狱迫害 西安七旬老人再遭冤判9年
n11488493,苦难中坚守希望 京城姐妹的跌宕人生（2）
n11497182,被非法关押近10年 原二级女警司张云再被劫
n11495958,凄楚无助 一群苦难的中国孩子（2）
n11496795,2019年1至7月 云南法轮功学员遭迫害综述
n11501163,8月末 河南30名法轮功学员及家属遭绑架
n11503166,南京74岁大校军医 遭非法判刑三年
n11503913,2019年上半年 四川法轮功学员遭迫害综述
n11503384,7旬高级工程师梁怀远 遭安徽女监迫害致命危
n11505871,连环画：走过劫难（3）
n11498781,遭殴打性侵劳教判刑 无辜的中国孩子
n11507059,沙洋范家台监狱迫害 法轮功学员王邦基离世
n11509323,北京市平谷区迫害法轮功者的恶运
n11511896,北京顺义8名法轮功学员遭绑架 4人仍被关押
n11511984,昆明69岁法轮功学员李竹秀 遭枉判3年半
n11513494,53位老人被辽宁女子监狱关押迫害
n11517714,王立军助手 江苏省公安厅长王立科被举报
n11523135,连环画：走过劫难（4）
n11522983,黑龙江女硕士惨遭迫害 九死一生
n11507695,被中共迫害致疯致死的一群中国孩子
n11525008,北京法轮功学员胡秀荣遭绑架 女儿海外吁营救
n11525862,吉林朱丽杰等多名法轮功学员被绑架
n11526236,济南公安局副局长赵新 上任仅5个月死亡
n11525237,21世纪的古拉格真相（1）
n11527169,辽宁清原五名法轮功学员被劫持入狱
n11527917,妻遭警察翻墙入室劫走 丈夫奔走营救
n11529633,北京82岁法轮功学员马秀英遭冤判 被劫入狱
n11527450,21世纪的古拉格真相（2）
n11529940,20年 吉林省舒兰法轮功学员遭迫害综述
n11530945,法轮功递交迫害者名单 吁澳政府制止迫害
n11532193,吉林松原14名法轮功学员和家属遭绑架
n11532323,广东梅州警察接连绑架骚扰法轮功学员
n11530187,21世纪的古拉格真相（3）
n11534733,山西原平12名法轮功学员被构陷到检察院
n11507862,罗琼：从港人遭遇看中共迫害法轮功的邪恶
n11535668,锦州205医院军医陈荣山的恶运
n11538875,9月初 哈尔滨多名法轮功学员遭绑架
n11540404,山西太原市11名法轮功学员遭绑架
n11523456,山东沂南县警察绑架骚扰法轮功学员
n11516642,吉林榆树3名法轮功学员被非法庭审
n11535135,吉林法院院长孙青山冤判多名法轮功学员
n11543687,中共雇凶打人 香港法轮功学员遇袭 头破血流
n11543208,8月份 至少53名法轮功学员被非法判刑
n11544229,武汉当局借军运会加剧迫害法轮功学员
n11544614,“十一”前夕中共雇凶施暴 香港一天酿三案
n11545599,修炼法轮功绝症康复 武汉康佑元遭迫害离世
n11548413,武汉官员滥用公检法系统 迫害法轮功
n11546060,21世纪的古拉格真相（4）
n11550124,烟台法轮功学员崔淑珍面临非法庭审
n11540858,从中共迫害法轮功的邪恶看港人抗争意义
n11552417,炼法轮功重见光明 重庆赵凤霞被迫害离世
n11550743,济南法轮功学员张立萍被非法判刑1年半
n11545800,吉林82岁法轮功学员赵桂霞在迫害中离世
n11550494,21世纪的古拉格真相（5）
n11554381,中共雇凶打伤香港法轮功学员 追查国际追查
n11557063,落马的河南副省长徐光 曾参与迫害法轮功学员
n11550253,肝硬化 炼法轮功康复 山东商人却遭中共绑架
n11558054,又一批中共人权迫害者名单 递交美加英澳政府
n11560290,沈阳十几位法轮功学员及家属遭绑架
n11560752,南京大学生在宿舍炼法轮功 遭非法开除
n11562758,百万元被劫 遭酷刑折磨 优秀讲师张晓杰离世
n11563713,法轮功车队巧遇中共代表团 面对面向其喊话
n11563562,8月份至少548名法轮功学员遭绑架
n11562468,影片《为你而来》第二部开机 重现插播壮举
n11565574,20年 重庆开州区法轮功学员遭迫害简述
n11566013,卖力迫害民众 吴天祥被中共树为“模范”
n11565823,法轮功学员华明素遭绑架 仅13天被冤判
n11568246,伦敦中使馆前 法轮功学员谴中共在港雇凶施暴
n11557934,21世纪的古拉格真相（6）
n11568068,学真善忍 经济犯重新做人 却遭17年迫害
n11568510,山东平度市法院刑庭副庭长雷鸿春被举报
n11570469,济南多名法轮功学员被非法抓捕
n11571567,法轮功学员许章清遭警察绑架 40万钱财被劫
n11574020,荷兰媒体揭露中共活摘器官罪行
n11573638,重阳节 记一群惨遭中共迫害的大陆老年人
n11574309,1～9月 合肥市至少72名法轮功学员遭迫害
n11576790,秦皇岛王海燕被迫害致不识家人 海外亲人营救
n11575923,法轮功学员缪小露被迫害致死的悲惨遭遇
n11576531,花季年龄被追捕10余年 张晓晓遭绑架失踪
n11578223,山西阳泉市法轮功学员遭受20年迫害简述
n11578853,9月份 沈阳市多名法轮功学员和家属遭绑架
n11578978,修炼法轮功 极度抑郁症痊愈 王增美却遭绑架
n11578799,企业家刘道权遭重庆永川监狱药物迫害
n11580440,河南农民 家中财物血汗钱被警察抢劫一空
n11580654,退休5年 青海省公安厅前副厅长任三动被查
n11580836,只因一个“炼”字 工程师刘肖雄遭枉判一年半
n11582211,13年冤狱 河南法轮功学员郑现金被迫害离世
n11583352,澳洲法轮功学员讲真相 华人：你们真辛苦
n11582376,七旬老人遭非法庭审 当场昏迷 家人斥责法庭
n11585270,2018年至今 吉林四平市法轮功学员遭迫害综述
n11587922,山东退休教师王金华遭冤判2年 被劫入狱
n11585474,政府公务员因修炼法轮功遭迫害致死综述（1）
n11589904,夫流离失所多年 再被非法关押 妻不离不弃
n11592015,长春地区15名法轮功学员被非法批捕
n11588284,政府公务员因炼法轮功遭迫害致死综述（2）
n11592892,江西赣州政法委副书记陈明浩被审查
n11592419,慕尼黑啤酒节 民众声援法轮功反迫害
n11594995,河北命案 死者生前遭看守所频繁抽血
n11594385,9月份 至少26名法轮功学员被非法判刑
n11596648,十一前 至少214位法轮功学员遭川警绑架
n11597772,法国解放报：法国应该承诺反对强摘器官
n11598002,河北廊坊市信访局局长邢邵祥被抓
n11597013,首次亮相希腊雅典 欧洲天国乐团受欢迎
n11600160,37家人权组织联名 促美国禁进口奴工产品
n11601463,澳法轮功学员回中国探亲被绑架 遭冤判1年
n11597598,政法委610直接操纵法院诬判法轮功学员
n11600769,面临非法庭审 法轮功学员遭法院指定律师恐吓
n11602245,8—9月 云南41名法轮功学员遭骚扰绑架
n11604652,20年悲苦 九死一生 湖南七旬老人再遭绑架
n11606884,山东法轮功学员李付荣被迫害离世
n11607520,黑龙江克东县政法委书记张云江服毒自杀
n11609275,河北法轮功学员刘伯会被警察拽倒昏死
n11610234,黑龙江公安厅网络安全总队长 孙跃武被双开
n11611517,山东临沂四名法轮功学员遭枉判入狱
n11602927,政府公务员因修炼法轮功遭迫害致死综述（3）
n11612228,四川绵竹市八名法轮功学员面临非法庭审
n11613711,绥化法院偷偷对七名法轮功学员的上诉结案
n11616743,海外汇款成“活动资金”长春法轮功学员遭构陷
n11613842,9月份 逾千名法轮功学员遭绑架骚扰
n11612334,河北衡水市三任“610”主任被举报
n11618390,中共海关非法截留法轮功学员邮件
n11617401,前迁安政协副主席范惠英 遭18年迫害离世
n11605242,涉及酷刑命案 密山看守所所长马宝生被举报
n11620562,胜利油田法轮功学员任国华被长期迫害离世
n11622646,十年冤狱酷刑 大连法轮功学员张伟含冤离世
n11618082,老人一起读法轮功书籍 成中共大案要案
n11622593,法轮功学员杨胜军被迫害致死 家人请律师伸冤
n11626935,甘肃女子监狱非法关押逾30名法轮功学员
n11622783,原山西省委副书记云公民被查 曾迫害数百人
n11627906,北京81岁法轮功学员在长春被定位 冤判4年
n11627537,响应美严审签证行动 民众举报辽宁610姜庆明
n11629038,四川法轮功学员潘晓萍遭药物迫害致疯
n11629137,一位重度残疾者的遭遇
n11630231,贵阳82岁老人遭数十警察抄家 被洗劫一空
n11628854,长春市前副市长高学章被查 曾迫害法轮功
n11630361,东莞警察跨省绑架八旬法轮功学员李桂华
n11620371,从香港自杀案看中共“打死算自杀”政策
n11632566,法轮功学员戚秀梅被劫持19个月 下落不明
n11635752,律师为法轮功学员无罪辩护 法庭鸦雀无声
n11635677,天津法轮功学员赵国俊遭绑架两月 下落不明
n11637210,陷冤狱10年 法轮功学员韩旭再面临非法庭审
n11635973,中共人民网监事会主席唐宁死亡
n11638837,离奇死亡的重庆书记任学锋 被指涉多起冤案
n11639447,遭不明药物致瘫 河北法轮功学员靳殿隆离世
n11639850,老父探视陷冤狱的女儿 寻求正义 感动狱警
n11635032,法轮功学员胡霞在狱中被迫害致死的经历
