n3526027,林子旭：王立军交美材料探秘
n3703901,元璞：弄巧成拙的“舆论战”
n3703930,赵汗青：“700手印”震惊美国会 习近平家乡县名隐天机?
n3704035,正清元 : 天意昭昭善恶分明，您选择对了吗
n3704291,齐铭：中国未来走向已过十字路口
n3704855,苦胆：以人为“本”？
n3705408,齐铭：突尼斯总统语惊四座 民众热烈响应说明了什么
n3706072,【夏小强】：逮捕周永康是中国政局下一步之变？
n3706654,【李远之】：南橘与北枳
n3706744,刘青：中共活摘贩尸教了我们什么
n3707073,【玉清心】：卫生部的新“器官管理办法”管多少器官？
n3707057,【夏小强】：权斗加剧  江泽民被逼“现声”待审
n3708038,5政团60海外知识份子 促联合国调查活摘
n3708733,【夏小强】：薄熙来供认了江泽民哪些罪行？
n3708589,秋尚：中共无法转嫁的罪行
n3709532,靖宇：致美国总统和国务卿的公开信
n3710524,刘青：活摘贩尸何以横行大陆
n3710855,加绿党领袖关注活摘法轮功学员器官罪行
n3711855,筱岗：“活摘”是末日之端
n3712385,千美：即使1500年不变 也要让他们入土为安
n3712461,【龚平】 《福布斯》提出美国总统候选人必看的短片
n3713056,加议员谈活摘：中共是世界上最大人权侵犯者
n3713326,莜岗:“活摘”是谁也绕不过的门槛
n3712918,为器官杀人：中国的秘密器官移植生意
n3713833,加省议员：中海油收购尼克森须先解决人权问题
n3713408,【玉清心】：“别人可以沉默，而德国人不可以！”
n3716009,【周晓辉】令中南海胆颤心惊的新定时炸弹
n3716304,【周晓辉】：周永康还有多少折腾的空间？
n3716355,【九天剑】610们，江蛤蟆踹了，周麻子快了，想辙保命吧
n3716382,元璞：写给还有机会下跪的610酷吏
n3716471,【陈思敏】《长江日报》一篇报导吓傻中国警察
n3716839,【陈思敏】活摘器官与美国大选――林肯的启示
n3716985,医学伦理权威：抵制关于中国器官移植的医学研究刻不容缓
n3717038,千美：所有迫害法轮功参与者应知的四件事
n3720052,江泽民为贩卖器官解除法律责任
n3722902,中共十八大 抓捕还在继续 家属呼吁曝光
n3723313,【郑欣然】总统与平民 机会均等
n3723731,秋尚：死刑犯的“悲惨”与“被利用”
n3724672,【玉清心】 德国人评时局：中共在蹈纳粹覆辙
n3724774,十八大前德国人权组织谴责中共活摘器官
n3726004,【陈思敏】：18大之际环球时报公然唱反调？
n3726767,海涵：中共导演“此地无银三百两”
n3727058,【陈思敏】：网络聚焦18大的另一个热点
n3727325,【玉清心】：中共活摘证据确凿 德国议员信口开河无凭
n3729343,苏格兰议会议员发动议　谴责中共活摘器官
n3730493,追查国际：关于塑化人体标本尸体来源的调查报告
n3730828,台湾名医签署反中共活摘器官
n3732542,【刘晓】：美国参议员 PK 德国议员
n3732760,一诺：中共暴政与冷血恶魔
n3733045,【周晓辉】：欧盟资助器官移植调查 中南海心惊
n3733778,中共活体摘取法轮功学员器官报告（十四）
n3734642,中共活体摘取法轮功学员器官报告（十五）
n3734691,中共活体摘取法轮功学员器官报告（十六）
n3733787,教堂主管撰文指控中共活摘器官 送至全美各天主教堂
n3738050,加国会议员：凝聚全球力量制止中共活摘器官
n3740114,诗歌：平心看九评  真相现眼下
n3741398,黄惠君：是谁亵渎了器官移植？
n3742511,千美：最荒唐可怕的“世界第二”
n3742782,加拿大议员：摘取器官必须停止 否则中断中加贸易
n3745102,【郑欣然】：正义无国界 回应白宫30天征签
n3745286,童文薰：“装傻”不是良知的润滑剂
n3748262,欧议会听证 中共活摘器官罪行受关注
n3748660,李寂然：一项令中共魂飞魄散的提议
n3749730,欧盟获奖日 人权组织吁关注中国器官活摘
n3752264,黄千峰：无法购买的价值人权日反思有感
n3762042,王舒眉：医师该维护谁的利益
n3766433,【杨宁】刘少奇怕上史书，现在的中共高层怕不怕？
n3790372,欧议员和学者谈中共对信仰团体的残酷迫害
n3810812,玉清心：中国军费到底花到哪儿去了
n3814053,【陈思敏】一张照片说出薄熙来与两个“赌王”不能说的关系
n3820542,李寂然：中国移植医生为何不能光明正大？
n3821564,陆振岩：国际著名医学期刊缘何成“敌对势力”？
n3822035,【玉清心】黄洁夫为何早早高调承认使用死刑犯器官？
n3824694,陈光诚旧金山领“法律奖” 民众聚会欢迎
n3825309,专访悉尼大学Singh教授 国家掠夺器官与澳洲立法
n3826499,专访大卫 ‧乔高：尊重人民意愿 立即停止迫害
n3828698,正善：吉林宣传部密令透露出的罪恶
n3830861,【陈思敏】中国结核患者惊人 黄洁夫的账该怎么算？
n3831632,欧阳非：不容中共漂白“活摘器官”
n3834727,王华：为什么有人不相信活摘器官？
n3835245,肝移植界权威：世界移植界知道中共强摘器官
n3837973,玉清心：移植速度骇人 活摘法轮功学员器官仍在进行
n3860635,【陈思敏】活摘器官不配行医 欣闻澳学者吁撤黄洁夫头衔
n3870389,【陈思敏】黄洁夫与红十字联手会有多恐怖
n3877319,【石静笛】两个史无前例 一个根本原因
n3904856,【杨宁】斯诺登走了 让江系心惊胆颤的又来了
n3944762,玉清心：薄案开审 中共面对活摘器官罪恶的严厉拷问
n3944850,【热点透视】审薄前党媒报导器官分配释放两个信息
n3945921,【陈思敏】人质薄瓜瓜或共犯薄瓜瓜？
n3949474,齐铭：西方主流媒体关注中共器官移植
n3958186,金刚行：“这个星球上从未发生过的邪恶”却在中国大陆频现
n3971736,羌天明：活摘器官真相迟早会在中国大陆大白于天下
n3977308,【陈思敏】陆媒报导贩肾旧案 用意何在？
n3985533,云帆：台湾街头剧随时演 大陆模拟照不准拍
n3989758,【陈思敏】器官黑市 谁在保护这些专业杀人犯？
n3994640,章明目：农家院里的尸体加工点和薄谷开来
n3997726,玉清心：一句恐吓透露出的“活摘”信息
n4001863,【陈思敏】中共在联合国的“批评与自我批评”
n4002468,【陈思敏】黄洁夫“杭州决议”道破“国家掠夺器官”
n4002623,玉清心：吉林松原连降地震 有何玄机？
n4003754,【世事关心】生死之间2013版（一）
n4003401,李毅：中共活摘器官是最邪恶的恐怖暴力袭击
n4005984,千美：作为工具的活摘器官者何去何从？
n4008201,玉清心：死亡指标和死亡人数
n4010262,【世事关心】生死之间2013版（二）
n4014509,Wattana Bo漫画：Stop Forced Live Organ Harvesting
n4015781,玉清心：吉林松原连续地震 上天一再警示什么？
n4016259,大卫‧麦塔斯：明天，受害的就可能是我们
n4016187,【陈思敏】中共为何对活摘器官指控气弱心虚
n4016639,【杨宁】吉林松原隐匿着中国的“奥斯威辛集中营”？
n4023571,【周晓辉】香港也掌握了中共滔天罪恶的证据？
n4024116,【陈思敏】中共与黄洁夫的器官移植黑幕区
n4034212,【陈思敏】典范！欧洲议会对中共活摘器官发出谴责最强音
n4039021,【陈思敏】周永康江泽民2003那一年
n4056315,韦拓：活摘罪医，你也杀了自己
n4166308,古春秋：从“六四”屠杀到活摘器官
n4215377,九天剑：泡面已出锅 马仔须品味
n4304852,解福根：勇敢地走吧！你会看到光明
n4322227,陈思敏：黄洁夫台湾行的10秒镜头
n4333397,影评：聚焦器官强摘的韩片《共谋者》
n4443608,九天剑：拯救•得救•没救
n4461043,夏林：妖道与无间道
n4504702,方寸：“生命奥秘”尸体展隐藏的罪恶
n4522479,九天剑：危情警报
n4526776,石铭：中共江氏集团是名副其实的邪教组织
n4552679,玉清心：制止活摘！再说傅彪两次换肝
n4558257,《前所未有的邪恶迫害》揭示“震耳欲聋”的沉默
n4589881,【专访】罗宇支持诉江 吁调查和公开活摘罪恶
n4593555,艺人妻子花800万换肝 中国器官移植黑幕引关注
n4616305,玉清心：冯小刚出演《老炮儿》怀念傅彪
n4637546,玉清心：参与活摘器官医生频遭恶报的警示
n7990576,俞晓薇：骇人听闻黑幕曝光 我们还要容忍多久
n7998150,【热点】美众院通过此重大决议案说明什么
n8060886,俞元：六月莲开 法轮功反迫害达新的里程碑
n8062513,杨宁：瑞士政要联名敦促审判 江泽民再出丑
n8071496,中共“强摘器官”罪震惊英国上下两院议员
n8103572,【特稿】暴行必须终结‭ ‬真相必须公之于众
n8099175,【720系列】对中共活摘器官说不（上）
n8099178,【720系列】对中共活摘器官说不（下）
n8216999,杨宁：三名器官移植专家为中共“站台”的背后
n8219897,杨宁：黄洁夫之可笑与纳粹集中营的造假
n8221121,川人：举办国际器官移植大会无法漂白中共罪恶
n8222166,陈思敏：黄洁夫与江派喉舌执意给习近平难堪
n8230418,谢天奇：习李同步离京 执行北戴河秘密协议？
n8241459,李天笑：香港会议藏阴谋 习近平痛击黄洁夫
n8291404,玉清心：大陆游客说一个邻居换过二个肝
n8329214,方政：了解并制止“活摘”是人们的使命
n8337486,觅真：欧洲议会对中共活摘器官说不
n8443497,石铭：结束迫害须国际社会的关注和支持
n8522122,玉清心：江西红会器官捐献官员贪腐的背后
n8828153,专家讲座：中共活摘器官-国家犯罪罪证
n9021123,平和中的震撼：致我们心中的善
n9642309,《华邮》引述黄洁夫谎言 难掩中共活摘之罪
n10004708,强行抽血与绿色通道背后的活摘器官罪恶
n10466427,俞晓薇：杀人犯监督器官移植是“中国经验”？
n10794671,俞晓薇：反制中共 西方应推动调查活摘器官
n10914646,玉清心：2018年中共仍在活摘法轮功学员器官
n10942855,石铭：迫害罪恶罄竹难书  解体中共刻不容缓
n11003525,唐恩：信仰自由日的省思
n11249451,制止中共强摘器官 德国议员建议修改法律
n11331578,人民法庭判中共罪成 活摘器官成新闻焦点
n11335935,BBC访活摘器官医生：被洗脑后无罪恶感
n11347973,中共活摘器官 麦塔斯：将罪犯绳之以法
n11350529,麦塔斯：中共活摘器官是“慢性群体灭绝”
n11377039,澳华裔大律师愿推动法案 制止中共活摘罪行
n11538883,欧洲移植大会 中共掠夺器官再成焦点
n12372103,中共医疗谎言与悲剧——血祸 活摘器官 瘟疫
n12684490,李正宽：官员亲属举报中共活摘 揭惨烈内幕
n12779736,林晓旭：制止“冷群体灭绝” 应注重行动
n12802713,玉清心：捐器官若成国策 国人被强摘危险加剧
n13070629,田云：新西兰议员揭中共罪恶 活摘器官是焦点
n13244249,【横河观点】世界为何对中共移植黑幕沉默？
