n3991196,史洪愿：农民翻身当家做了主人？
n9970984,纵欲杀人是共产主义毁灭人类的重要手段(上)
n9971022,纵欲杀人是共产主义毁灭人类的重要手段(下)
n9981424,林辉：中共治下红楼泪 谁解其中味？
n9993508,爱德华：中共从道德上彻底摧毁中国人
n9995739,揭秘中共企业海外党支部秘密活动（上）
n9995796,揭秘中共企业海外党支部秘密活动（下）
n10007753,学者：迫害法轮功令共产主义走向失败（上）
n10004659,共产暴政录：批判武训，拒绝特蕾莎修女
n10009951,学者：迫害法轮功令共产主义走向失败（下）
n10013328,文武：中共毁灭了中国社会“三权分立”的传统
n10020053,对知识份子的迫害——思想改造运动
n10035147,林辉：雍和宫躲过文革有因 毁佛像者下场惨
n10061771,共产暴政录：拼音化与简化汉字
n10069025,杨宁：八路军为何大量购买治花柳病的药品？
n10073567,中共教育投入与民国时期的教育投入
n10073767,《共产主义的终极目的》新书即将出版
n10077932,中国教育的失败源于破坏传统文化及灌输党文化
n10077365,金剑：阶级斗争是民族毁灭的动力
n10089507,共产暴政录：“破四旧”
n10094168,如初：再回顾民国学人批苏俄
n10107668,林辉：导演陈凯歌对父亲终生的愧疚
n10109561,《共产主义的终极目的》新书开始发行
n10115871,《共产主义的终极目的》是揭开创世真相的天书（上）
n10115886,《共产主义的终极目的》是揭开创世真相的天书（下）
n10134371,中共反对提倡“礼义廉耻”的新生活运动
n10157613,共产暴政录——宗教商业化
n10158455,林辉：为何“六九届”学生少有成功人士？
n10162566,共产暴政录——杀父竟成学习榜样
n10202468,林辉：“爱有阶级性”后的人伦惨剧
n10207223,共产暴政录：儿子告发母亲致其母被处决
n10234497,林辉：财大气粗的共产国际背后是血腥掠夺
n10229517,中共淫乱的前生今世（3）政治局六淫棍
n10237420,中共淫乱的前生今世（4）央视“后宫”
n10243539,中共淫乱的前生今世（5）公共情妇门
n10247979,中共淫乱的前生今世（6）淫乱大看台
n10283458,李庆霖“知青英雄”悲剧是如何造成的(上)
n10257597,中共淫乱的前生今世（8）党官淫乱校园
n10285705,李庆霖“知青英雄”悲剧是如何造成的(下)
n10271780,中共淫乱的前生今世（9）四大基础
n10298544,游兆和：对共产主义“实践标准”荒谬性的剖析
n10307769,中共淫乱的前生今世（10）溃堤效应
n10307862,中共淫乱的前生今世（11）前车之鉴
n10353369,川人：念好马克思真经 把邪教式极端组织进行到底？
n10350636,周晓辉：北京推洗脑节目 中国人信幽灵很危险
n10353433,玉清心：从赠马克思巨型雕像看中共海外渗透
n10377672,林辉：民国三位大师眼中的共产主义很可怕
n10394634,共产暴政录：抢教堂庙宇的献堂献庙
n10438143,刘晓：共产党“告密者001号”的结局
n10447668,凌晓辉：共产主义毁灭人类的宣言书（上）
n10448635,林辉：上书毛反对土改 农学家慧眼识中共
n10449945,凌晓辉：共产主义毁灭人类的宣言书（中）   
n10450957,凌晓辉：共产主义毁灭人类的宣言书（下）
n10483295,唐铭：正被沦陷的世界必将反击共产主义
n10486427,惠虎宇：中共意识形态之理性批判（12）
n10491587,《共产党宣言》是共产邪灵向人类的宣战书
n10492678,仰岳：共产党如何干扰美国的对华政策
n10507682,乾龙：认清共产邪灵与人人有关
n10508307,人权律师：台美应联手反制中共
n10524181,中共文宣大跃进掩盖不了高科技的差距
n10532483,何坚：中共将会是下一个苏联？（下）
n10541374,文武：“霸凌主义”是中共党文化用语
n10556515,凌晓辉：毒害人类灵魂的共产主义理论（上）
n10564146,《共产党宣言》谎言逻辑之解读：共产必先共妻
n10579977,林展翔：简谈中共迫害法轮功的非法
n10587167,张林：共产主义才是最毒的毒疫苗
n10625340,玉清心：文革“破四旧”不堪回首 但不能遗忘
n10685951,袁斌：史无前例的大规模官德沦丧
n10747812,东欧剧变第一国 波兰抛弃共产主义之路
n10735061,古玉文：窃国初期中共几十万干部争当陈世美
n10771577,和平砥柱——丘吉尔的“铁幕”演说
n10773796,邪恶帝国——里根总统谴责苏联共产政权
n10774701,推倒这堵墙——里根总统的柏林墙演讲
n10797783,两部视频 预示美中未来 曝光中国社会乱源
n10835148,中华传统文化之叹——消逝的城墙（上）
n10835295,中华传统文化之叹——消逝的城墙（下）
n10844582,中华传统文化之叹 消失的胡同和四合院（上）
n10859218,川人：邪灵附体，学毛泽东注定死路一条
n10845591,中华传统文化之叹 消失的胡同和四合院（下）
n10856181,中华传统文化之叹——古城劫
n10866763,三反共勇士获颁美国杜鲁门-里根自由奖
n10868348,奶奶的小圆子 爷爷的油纸伞
n10873230,唐铭：冷战解体苏共 中共步后尘向末路狂奔
n10872474,中华传统文化之叹——消失的古村
n10878756,西岸隐士：对当下中共极权主义的研究(二)
n10889466,裴毅然：中共小知党（四）
n10896282,观雨堂主：学术自由的最后一幕
n10902151,龙延：中共道路是魔鬼的选择
n10884662,中共简化汉字 注入暴力基因
n10885901,中共简化汉字 变异传统文化
n10927121,里根首席苏联顾问专访：解体苏联的故事(1)
n10990583,林辉：岳飞忠魂千古颂 中共侮辱英雄可憎
n10995753,九州：注定失败的共产主义
n11000879,共产暴政录：文革中究竟死了多少人
n11038771,王友群：中共的社会主义该扔进历史垃圾堆了
n11061288,林辉：毁黄帝炎帝陵 中共与中华民族水火不容
n11092294,中华传统文化之叹——成都失去了什么
n11362608,林辉：文革集邮也是罪过
n11485526,凌晓辉：党文化造成的羞耻感丧失
n11509183,甄东舟：共产党搞“庆” 为何总是如临大敌
n11518358,可心：中共破坏宗教造像的背后
n11552335,程晓容：中共白皮书难掩70年罪恶
n11544233,【直播回放】十一前后 全球连场反共大游行
n11622063,林辉：中共对赵州桥的破坏令人叹惋
n11660999,林辉：承天命演绎忠义豪情《水浒》为何被批？
n11676839,何坚：“五毛党”攻击神韵的三种伎俩
n11676030,“五毛”网上攻击神韵 曝中共恐惧和邪恶
n12116869,【珍言真语】张灿辉：中共教育不准独立思考
n12198436,《共产主义黑皮书》：知识界的毁灭
n12362711,中共禁少数民族语言授课 蒙古人抗议文化灭绝
n12597490,【微历史】恩格斯百年阴谋 结出2020美大选恶果
n12650309,【有冇搞错】美国“文革”正在发生
n12905760,胡平：中共搞“文革复辟” 难以迫使国人效忠
n12911615,中共国安新规 全民抓特务 被揭真实意图
n12947385,大陆再现“文革忠字舞” 毛左纪念文革遭批
n12997170,【独家】全民遭谎言洗脑 有多少真正跟随
n13031701,德媒重磅长文详解：中共对西方的可怕渗透
n13042288,【微视频】2021中共维稳 历史上两个异变（下）
n13043076,【时事纵横】中共7.1露怯 逾二百军巴塞爆鸟巢
n13049010,田云：中共的“新型政党制度”是何货色？
n13049869,【横河观点】百年“喜”事丧办 中共身份危机
n13048310,【新闻看点】央视美化六四 北京党庆焰火遇冰雹
n13049352,外媒揭中共专政三手段：没有一个党能万岁
n13053663,中共百年临近 专家：给全球带来巨大危险
n13053641,7.1前北京进入最高战备 井盖也安检打封
n13054263,王友群：百年中共危机日深的六大表现
n13056056,中共百年刻意忽略黑暗历史 专家：怕被解体
n13056418,七一临近 蔡霞：中共比表面看起来更脆弱
n13056792,【时事纵横】党媒吹捧习成笑话 元老集体躺平
n13056781,【新闻看点】党庆怪异事频出 习近平危险深？
n13057253,【百年透视】中共摧毁传统文化与道德
n13056354,中共发布“新型政党制度” 学者分析
n13058990,【时事纵横】七一上演荒诞剧 学者提中共死法
n13061709,【时事纵横】党庆多不祥之兆 拿14亿人当肉盾？
n13061779,【横河观点】血肉筑长城 中国人民成党盾牌？
n13061263,【新闻看点】偷扩核武？中共庆生西方无人贺
n13063233,【拍案惊奇】习天安门喊统一 胡锦涛一脸茫然
n13064269,【远见快评】泄中共危机？习讲话美军强烈回应
n13064395,田云：中共党庆洗脑片企图掩盖什么？
n13065976,唐青：中共百年 习近平隔空大战“外来势力”
n13065867,【拍案惊奇】习胡合作事未完 薄熙来弟上天安门
n13066986,美前国务院发言人评习近平七一讲话：百年暴政
n13067969,中共百年与美国误判 纽约华人学者研讨
n13070693,纽约中领馆外 “天灭中共”车队环绕车游
n13070496,【拍案惊奇】张陶殴打两院士 后台被曝“通天”
n13074809,【远见快评】习近平发亡党之音？日相一语惊人
n13077182,【新闻看点】中共收集孕妇基因 三大邪恶目的
n13080590,【唐浩视界】透视中共：疯狂造假数据四大目的
n13085641,戈壁东：中共是这个世界最邪恶的政权
